Invoice,barcode,name,dosage_form,Sheet,Sales_Sheet,Sales_pack,addeddate,time_,type
1195589,8.69918E+12,papatya  loka,cotton,1,1,1,11/14/2024,3:05PM,Supply
1195599,4.26012E+12,Novo AIWA,Cream,1,1,1,6/20/2024,3:54PM,Supply
1195599,1062,A.M-E.C,gerawa,1,1,1,6/20/2024,3:53PM,Drug
1195633,8.69957E+12,Momecon,Skin Lotion,1,1,1,5/31/2024,5:49PM,Drug
1195633,6.25116E+12,Mesone ,Cream,1,1,1,5/31/2024,5:49PM,Drug
1195669,5.70219E+12,Fucicort,Cream,1,1,1,1/27/2024,1:05PM,Drug
1195688,6.2911E+12,Julmentin fort  625mg,Tablet,4,4,1,9/23/2024,2:01PM,Drug
1195688,6.25116E+12,Mesone,Ointment,1,1,1,9/23/2024,2:01PM,Drug
1195688,5.70219E+12,Fucidine 15G oint,Ointment,1,1,1,9/23/2024,2:01PM,Drug
1195692,8.43701E+12,BABE FOOT REPAIRING 10% UREA 100ml,Cream,1,1,1,11/23/2024,2:12PM,Supply
1195722,4.26022E+12,caelin %2 sulfur,Soap,1,1,1,5/28/2024,3:37PM,Supply
1195722,1062,A.M-E.C,gerawa,1,1,1,5/28/2024,3:36PM,Drug
1195722,1063,R.A-C,gerawa,1,1,1,5/28/2024,3:36PM,Drug
1195722,1069,C%2-A,gerawa,1,2,2,5/28/2024,3:36PM,Drug
1195801,4.26022E+12,caelin %2 sulfur,Soap,1,1,1,12/31/2024,7:43PM,Supply
1195801,5.31009E+12,Trimoksazol  (400+80)mg,Tablet,2,3,1,12/31/2024,7:43PM,Drug
1195801,2254,LA ROCHE-Posay Anthelios +50 shaka fluid,fluide,1,1,1,12/31/2024,7:43PM,Supply
1195801,8.90425E+12,istovin 20mg,Capsule,3,2,0,12/31/2024,7:43PM,Drug
1195848,2254,LA ROCHE-Posay Anthelios +50 shaka fluid,fluide,1,1,1,5/12/2024,3:03PM,Supply
1195882,1062,A.M-E.C,gerawa,1,1,1,11/5/2024,5:03PM,Drug
1195882,1065,S.A % 1.5 -E.O,gerawa,1,2,2,11/5/2024,5:03PM,Drug
1195882,4.26022E+12,caelin %2 sulfur,Soap,1,1,1,11/5/2024,5:02PM,Supply
1195882,3.0315E+12,ISIS unitone 4 white advanced,serum,1,1,1,11/5/2024,5:02PM,Supply
1195882,8.90425E+12,istovin 20mg,Capsule,3,2,0,11/5/2024,5:02PM,Drug
1195962,8.69918E+12,papatya  loka,cotton,1,1,1,8/24/2024,2:51PM,Supply
1195974,6.95183E+12,easymed syringe 10ml med,Syring,100,2,0,11/23/2024,4:31PM,Drug
1195974,1060,clorocil 5g Eye Ointments,Ointment,1,1,1,11/23/2024,4:31PM,Drug
1195974,6.95589E+12,Gauze Swam 10*10 bchuk,gauze,1,1,1,11/23/2024,4:30PM,Supply
1195974,8.69958E+12,Nevotek 500mg,Tablet,1,1,1,11/23/2024,4:30PM,Drug
1195974,-1319732,micropore 3m SPi plaster lut,instrument,24,5,0,11/23/2024,4:30PM,Supply
1195974,1059,sterile pyrogen-free %9 500ml,Liquid,1,2,2,11/23/2024,4:30PM,Supply
1195976,1063,R.A-C,gerawa,1,1,1,12/8/2024,4:48PM,Drug
1195976,1062,A.M-E.C,gerawa,1,1,1,12/8/2024,4:48PM,Drug
1195976,1069,C%2-A,gerawa,1,1,1,12/8/2024,4:48PM,Drug
1195976,8.40274E+11,queen aromatherapy grad,Soap,1,1,1,12/8/2024,4:48PM,Supply
1195980,1073,P-M 30ml or 40ml,gerawa,1,1,1,12/16/2024,5:10PM,Drug
1195980,8.90425E+12,istovin 20mg,Capsule,3,2,0,12/16/2024,5:10PM,Drug
1195980,4.26022E+12,caelin %2 sulfur,Soap,1,1,1,12/16/2024,5:09PM,Supply
1195980,8.69958E+12,dILAPROST 5mg ,Tablet,3,3,1,12/16/2024,5:09PM,Drug
1195980,8.01313E+12,foltene strengthening for thinning hair for men shampoo,Shampoo,1,1,1,12/16/2024,5:09PM,Supply
1195982,8.90609E+12,Acnonil -0.025% 30g,gel,1,1,1,3/4/2024,5:35PM,Drug
1195982,3.33787E+12,GEL mouss Effaclar 200ml,gel,1,1,1,3/4/2024,5:33PM,Supply
1196043,5.70219E+12,Fucidine 15G cream,Cream,1,1,1,4/5/2024,3:07PM,Drug
1196068,-1319732,micropore 3m SPi plaster lut,instrument,24,2,0,7/20/2024,5:27PM,Supply
1196087,1069,C%2-A,gerawa,1,1,1,3/6/2024,1:18PM,Drug
1196087,1063,R.A-C,gerawa,1,1,1,3/6/2024,1:18PM,Drug
1196087,7.40985E+11,vitamin d3 5000 iu chewable 30 tab 21 century,Tablet,1,1,1,3/6/2024,1:18PM,Supply
1196087,5.90672E+12,Soft Iron + SR,Capsule,1,1,1,3/6/2024,1:18PM,Drug
1196087,3.40135E+12,Sebium photoderm AKN Mat spf 30 40ml,Cream,1,1,1,3/6/2024,1:18PM,Supply
1196087,4.26022E+12,caelin %2 sulfur,Soap,1,1,1,3/6/2024,1:18PM,Supply
1196087,8.69972E+12,Trimoks 480mg,Tablet,3,3,1,3/6/2024,1:18PM,Drug
1196087,8.90605E+12,isotoin 20mg USP,Capsule,3,2,0,3/6/2024,1:18PM,Drug
1196087,8.40274E+11,SULPHUR %10 (sulphatan),Soap,1,1,1,3/6/2024,1:18PM,Supply
1196166,8.90425E+12,istovin 20mg,Capsule,3,2,0,12/24/2024,2:47PM,Drug
1196166,1069,C%2-A,gerawa,1,1,1,12/24/2024,2:46PM,Drug
1196166,3.76025E+12,Novasil H 0.1%,Lotion,1,1,1,12/24/2024,2:46PM,Drug
1196166,8.69962E+12,Irazole  100mg  15tab,Capsule,3,3,1,12/24/2024,2:46PM,Drug
1196166,4.26022E+12,caelin %2 sulfur,Soap,1,1,1,12/24/2024,2:46PM,Supply
1196242,1065,S.A % 1.5 -E.O,gerawa,1,1,1,11/26/2024,2:26PM,Drug
1196312,4.00173E+12,Multivitamin hansal,effervecent tabalet,1,1,1,3/18/2024,3:27PM,Drug
1196317,1062,A.M-E.C,gerawa,1,1,1,8/3/2024,3:40PM,Drug
1196317,1069,C%2-A,gerawa,1,1,1,8/3/2024,3:39PM,Drug
1196317,8.90146E+12,isomac 20,Capsule,3,2,0,8/3/2024,3:39PM,Drug
1196317,7.64014E+12,white gel 150ml,gel,1,1,1,8/3/2024,3:39PM,Supply
1196317,7.64014E+12,WHITE INTENSE Night 30ml,Cream,1,1,1,8/3/2024,3:39PM,Supply
1196317,7.64014E+12,SUN 50+ FLUID INVISIBLE  50ML,Cream,1,1,1,8/3/2024,3:39PM,Supply
1196330,3.40156E+12,BIODERMA Photoderm TINTED  max  spf 50  40ml,Cream,1,1,1,9/19/2024,4:21PM,Supply
1196330,1063,R.A-C,gerawa,1,1,1,9/19/2024,4:08PM,Drug
1196353,6.95183E+12,easymed syringe 10ml med,Syring,100,2,0,1/22/2024,7:30PM,Drug
1196355,1079,T-B,gerawa,1,1,1,5/26/2024,8:58PM,Drug
1196386,1080,S.A-L.A-D,gerawa,1,1,1,6/15/2024,2:54PM,Drug
1196449,1062,A.M-E.C,gerawa,1,1,1,12/24/2024,3:13PM,Drug
1196449,1069,C%2-A,gerawa,1,1,1,12/24/2024,3:13PM,Drug
1196449,2254,LA ROCHE-Posay Anthelios +50 shaka fluid,fluide,1,1,1,12/24/2024,3:12PM,Supply
1196449,8.40274E+11,queen aromatherapy grad,Soap,1,1,1,12/24/2024,3:12PM,Supply
1196449,8.90605E+12,isotoin 20mg USP,Capsule,3,2,0,12/24/2024,3:12PM,Drug
1196465,6.95183E+12,easymed syringe 10ml med,Syring,100,2,0,9/30/2024,4:10PM,Drug
1196465,1060,clorocil 5g Eye Ointments,Ointment,1,4,4,9/30/2024,4:09PM,Drug
1196465,8.6802E+12,Levoximed  500mg,Tablet,1,1,1,9/30/2024,4:09PM,Drug
1196465,8.59561E+12,Heal Fast gel 50ml,Cream,1,1,1,9/30/2024,4:09PM,Supply
1196465,4.82301E+12,Sodium Chloride-Darnista 400ml\,SOLUTION,1,1,1,9/30/2024,4:09PM,Supply
