Invoice,barcode,name,dosage_form,Sheet,Sales_Sheet,Sales_pack,addeddate,time_,type
1195552,6.25111E+12,Elna 0.1% cream,Cream,1,1,1,11/8/2024,4:39PM,Drug
1195620,1062,A.M-E.C,gerawa,1,1,1,11/19/2024,5:02PM,Drug
1195620,2254,LA ROCHE-Posay Anthelios +50 shaka fluid,fluide,1,1,1,11/19/2024,5:02PM,Supply
1195620,8.40274E+11,queen aromatherapy grad,Soap,1,1,1,11/19/2024,5:02PM,Supply
1195620,8.90425E+12,istovin 20mg,Capsule,3,2,0,11/19/2024,5:02PM,Drug
1195632,1069,C%2-A,gerawa,1,1,1,10/14/2024,5:46PM,Drug
1195632,1063,R.A-C,gerawa,1,1,1,10/14/2024,5:45PM,Drug
1195632,1062,A.M-E.C,gerawa,1,1,1,10/14/2024,5:45PM,Drug
1195644,4.26012E+12,prednisolon  5mg,Tablet,2,1,0,6/10/2024,6:43PM,Drug
1195672,1063,R.A-C,gerawa,1,1,1,1/8/2024,1:18PM,Drug
1195672,8.90425E+12,istovin 20mg,Capsule,3,2,0,1/8/2024,1:18PM,Drug
1195672,1069,C%2-A,gerawa,1,1,1,1/8/2024,1:18PM,Drug
1195672,2254,LA ROCHE-Posay Anthelios +50 shaka fluid,fluide,1,1,1,1/8/2024,1:18PM,Supply
1195672,3.4014E+12,ISIS unitone 4 white,Cream,1,1,1,1/8/2024,1:18PM,Supply
1195672,3.0315E+12,ISIS Teen Derm,gel,1,1,1,1/8/2024,1:17PM,Supply
1195672,3.0315E+12,ISIS Teen Derm,gel,1,1,1,1/8/2024,1:17PM,Supply
1195693,4.26022E+12,caelin %2 sulfur,Soap,1,1,1,8/28/2024,2:12PM,Supply
1195697,5.90473E+12,Collafix 60cap,Capsule,4,4,1,7/13/2024,2:25PM,Drug
1195697,3.40158E+12,BIODERMA SEBIUM,foaming jel,1,1,1,7/13/2024,2:23PM,Supply
1195697,1069,C%2-A,gerawa,1,1,1,7/13/2024,2:23PM,Drug
1195697,1062,A.M-E.C,gerawa,1,1,1,7/13/2024,2:23PM,Drug
1195697,1063,R.A-C,gerawa,1,1,1,7/13/2024,2:23PM,Drug
1195697,1067,S.A %3 -D,gerawa,1,1,1,7/13/2024,2:23PM,Drug
1195697,8.90425E+12,istovin 20mg,Capsule,3,4,1,7/13/2024,2:22PM,Drug
1195735,8.43701E+12,Babe hydro24 reactive skin,Cream,1,1,1,1/15/2024,4:16PM,Supply
1195886,1062,A.M-E.C,gerawa,1,1,1,3/31/2024,5:17PM,Drug
1195886,1062,A.M-E.C,gerawa,1,1,1,3/31/2024,5:17PM,Drug
1195886,1069,C%2-A,gerawa,1,1,1,3/31/2024,5:17PM,Drug
1195886,1069,C%2-A,gerawa,1,1,1,3/31/2024,5:17PM,Drug
1195918,6.02402E+12,Fine`s multivitamin Pectin Gummies,gum,1,1,1,9/10/2024,7:00PM,Drug
1195940,8.90425E+12,istovin 20mg,Capsule,3,2,0,9/18/2024,12:59PM,Drug
1195940,3.7601E+12,ACM DEPIWHITE ADVANCED,Cream,1,1,1,9/18/2024,12:59PM,Supply
1196069,3.57466E+12,bebe shampoo zartpflege 200ml,Shampoo,1,2,2,8/26/2024,5:28PM,Supply
1196069,6.95589E+12,Gauze Swam 10*10 bchuk,gauze,1,1,1,8/26/2024,5:28PM,Supply
1196112,1065,S.A % 1.5 -E.O,gerawa,1,1,1,1/25/2024,2:38PM,Drug
1196112,1066,S-Z.O,gerawa,1,1,1,1/25/2024,2:37PM,Drug
1196112,215,Allermine 25mg,Tablet,1,1,1,1/25/2024,2:37PM,Drug
1196112,215,Allermine 25mg,Tablet,1,1,1,1/25/2024,2:37PM,Drug
1196112,4.26012E+12,prednisolon  5mg,Tablet,2,2,1,1/25/2024,2:37PM,Drug
1196112,4.26012E+12,prednisolon  5mg,Tablet,2,2,1,1/25/2024,2:37PM,Drug
1196124,6.95589E+12,Gauze Swam 10*10 bchuk,gauze,1,1,1,11/13/2024,3:46PM,Supply
1196196,1065,S.A % 1.5 -E.O,gerawa,1,1,1,9/3/2024,5:04PM,Drug
1196196,215,Allermine 25mg,Tablet,1,2,2,9/3/2024,5:03PM,Drug
1196196,1065,S.A % 1.5 -E.O,gerawa,1,1,1,9/3/2024,5:03PM,Drug
1196291,6.25188E+12,MONTIX 10mg,Tablet,2,2,1,12/25/2024,8:11PM,Drug
1196295,4.26012E+12,prednisolon  5mg,Tablet,2,3,1,12/16/2024,1:44PM,Drug
1196295,1013,betasone cream,Cream,1,1,1,12/16/2024,1:43PM,Drug
1196344,4.26013E+12,Stop Hair Face Hair Growth,Cream,1,1,1,2/24/2024,5:43PM,Supply
1196367,1069,C%2-A,gerawa,1,1,1,7/25/2024,1:58PM,Drug
1196367,1062,A.M-E.C,gerawa,1,1,1,7/25/2024,1:58PM,Drug
1196367,8.90605E+12,isotoin 20mg USP,Capsule,3,2,0,7/25/2024,1:57PM,Drug
1196367,5.70219E+12,Fucidine 15G cream,Cream,1,1,1,7/25/2024,1:57PM,Drug
1196415,7.64015E+12,Olfen-100 SR,Capsule,1,1,1,11/23/2024,6:52PM,Drug
1196415,3.58708E+12,Rodogyl,Tablet,2,2,1,11/23/2024,6:52PM,Drug
1196467,4.81013E+12,Dexamethasone 10 ampoules,SOLUTION,10,16,1,8/9/2024,4:15PM,Supply
1196467,3.76025E+12,Novasil H 0.1%,Lotion,1,1,1,8/9/2024,4:15PM,Drug
1196467,4.26022E+12,caelin %2 sulfur,Soap,1,1,1,8/9/2024,4:15PM,Supply
1196510,1067,S.A %3 -D,gerawa,1,1,1,5/14/2024,4:12PM,Drug
1196510,1063,R.A-C,gerawa,1,1,1,5/14/2024,4:12PM,Drug
1196510,1069,C%2-A,gerawa,1,1,1,5/14/2024,4:12PM,Drug
1196510,8.90605E+12,isotoin 20mg USP,Capsule,3,2,0,5/14/2024,4:12PM,Drug
1196510,4.26012E+12,prednisolon  5mg,Tablet,2,1,0,5/14/2024,4:12PM,Drug
1196510,4.26012E+12,prednisolon  5mg,Tablet,2,2,1,5/14/2024,4:12PM,Drug
1196510,8.40274E+11,queen aromatherapy grad,Soap,1,1,1,5/14/2024,4:11PM,Supply
1196510,-10420424,RUGARD UREA %10 Repair bodylotion,Lotion,1,1,1,5/14/2024,4:11PM,Supply
1196511,8.69958E+12,dILAPROST 5mg ,Tablet,3,2,0,2/8/2024,4:16PM,Drug
1196511,1073,P-M 30ml or 40ml,gerawa,1,1,1,2/8/2024,4:14PM,Drug
1196511,8.01313E+12,foltene strengthening for thinning hair for men shampoo,Shampoo,1,1,1,2/8/2024,4:14PM,Supply
1196535,2020,Differin  adapalene 0.1%  30g,gel,1,1,1,6/5/2024,12:07PM,Drug
1196535,4.26022E+12,CAELIN  BABY CARE,Soap,1,1,1,6/5/2024,12:07PM,Supply
1196535,8.90425E+12,istovin 10mg,Capsule,3,3,1,6/5/2024,12:07PM,Drug
1196535,3.33787E+12,LA ROCHE-POSAY ANTHLIOS spf 50  100ml,Cream,1,1,1,6/5/2024,12:06PM,Supply
1196581,1060,clorocil 5g Eye Ointments,Ointment,1,2,2,1/3/2024,5:00PM,Drug
1196581,8.59561E+12,Heal Fast gel 50ml,Cream,1,1,1,1/3/2024,5:00PM,Supply
1196581,5.90765E+12,Cosinus 60ml NOSE AND SINUSES,spray,1,1,1,1/3/2024,5:00PM,Drug
1196581,5.90765E+12,Cosinus 60ml NOSE AND SINUSES,spray,1,1,1,1/3/2024,4:59PM,Drug
1196584,1063,R.A-C,gerawa,1,1,1,1/9/2024,5:03PM,Drug
1196622,1062,A.M-E.C,gerawa,1,1,1,7/2/2024,2:19PM,Drug
1196622,1063,R.A-C,gerawa,1,1,1,7/2/2024,2:19PM,Drug
1196622,1069,C%2-A,gerawa,1,1,1,7/2/2024,2:19PM,Drug
1196622,8.40274E+11,queen aromatherapy grad,Soap,1,1,1,7/2/2024,2:19PM,Supply
1196622,8.90605E+12,isotoin 20mg USP,Capsule,3,2,0,7/2/2024,2:18PM,Drug
1196622,8.69972E+12,Trimoks 480mg,Tablet,3,3,1,7/2/2024,2:18PM,Drug
1196622,2254,LA ROCHE-Posay Anthelios +50 shaka fluid,fluide,1,1,1,7/2/2024,2:18PM,Supply
1196631,1063,R.A-C,gerawa,1,1,1,10/13/2024,2:48PM,Drug
1196631,8.69962E+12,Irazole  100mg  1tab,Tablet,1,1,1,10/13/2024,2:48PM,Drug
1196631,8.69962E+12,Irazole  100mg  1tab,Tablet,1,1,1,10/13/2024,2:47PM,Drug
1196631,4.26022E+12,caelin ketovit shampoo,Shampoo,1,1,1,10/13/2024,2:47PM,Supply
1196631,3.0315E+12,ISIS Teen Derm,gel,1,1,1,10/13/2024,2:47PM,Supply
1196643,1109,S.A-L.A,gerawa,1,1,1,7/11/2024,3:21PM,Supply
1196643,4.26022E+12,CAELIN  BABY CARE,Soap,1,1,1,7/11/2024,3:20PM,Supply
1196643,2020,Differin  adapalene 0.1%  30g,gel,1,1,1,7/11/2024,3:20PM,Drug
1196700,1069,C%2-A,gerawa,1,2,2,2/28/2024,3:08PM,Drug
1196700,1062,A.M-E.C,gerawa,1,1,1,2/28/2024,3:08PM,Drug
1196700,1063,R.A-C,gerawa,1,1,1,2/28/2024,3:08PM,Drug
1196700,4.26022E+12,caelin %2 sulfur,Soap,1,1,1,2/28/2024,3:07PM,Supply
1196700,4.26022E+12,caelin %2 sulfur,Soap,1,1,1,2/28/2024,3:07PM,Supply
1196700,8.90605E+12,isotoin 20mg USP,Capsule,3,2,0,2/28/2024,3:07PM,Drug
1196756,9.5011E+12,Opizole B,Cream,1,1,1,8/7/2024,5:31PM,Drug
1196756,3.28277E+12,Avene physiolift night cream 30ml,Cream,1,1,1,8/7/2024,5:31PM,Supply
1196784,1067,S.A %3 -D,gerawa,1,1,1,9/29/2024,11:25AM,Drug
1196784,6.25107E+12,Amoclan Bid 1g,Tablet,1,1,1,9/29/2024,11:25AM,Drug
1196784,4.26022E+12,Caelin antibacterial soap,Soap,1,1,1,9/29/2024,11:25AM,Supply
1196803,-1319732,micropore 3m SPi plaster lut,instrument,24,1,0,11/6/2024,2:55PM,Supply
1196809,1069,C%2-A,gerawa,1,1,1,10/24/2024,3:39PM,Drug
1196809,1069,C%2-A,gerawa,1,1,1,10/24/2024,3:39PM,Drug
1196809,8.90605E+12,isotoin 20mg USP,Capsule,3,2,0,10/24/2024,3:39PM,Drug
1196809,1062,A.M-E.C,gerawa,1,1,1,10/24/2024,3:38PM,Drug
1196809,1063,R.A-C,gerawa,1,1,1,10/24/2024,3:38PM,Drug
1196809,3.0315E+12,ISIS Teen Derm,gel,1,1,1,10/24/2024,3:38PM,Supply
1196809,2254,LA ROCHE-Posay Anthelios +50 shaka fluid,fluide,1,1,1,10/24/2024,3:38PM,Supply
1196809,2254,LA ROCHE-Posay Anthelios +50 shaka fluid,fluide,1,1,1,10/24/2024,3:38PM,Supply
1196814,-10420424,RUGARD UREA %10 Repair bodylotion,Lotion,1,1,1,5/13/2024,3:58PM,Supply
1196968,6.28126E+12,Elica-M,Ointment,1,1,1,10/11/2024,1:15PM,Drug
1196968,3.28278E+12,Avene Antirougeurs FORT  30ML,Cream,1,1,1,10/11/2024,1:15PM,Supply
1196977,1062,A.M-E.C,gerawa,1,1,1,7/27/2024,2:36PM,Drug
1196977,1063,R.A-C,gerawa,1,1,1,7/27/2024,2:35PM,Drug
1196977,2254,LA ROCHE-Posay Anthelios +50 shaka fluid,fluide,1,1,1,7/27/2024,2:35PM,Supply
1196977,8.90605E+12,isotoin 20mg USP,Capsule,3,2,0,7/27/2024,2:35PM,Drug
1196977,4.26012E+12,prednisolon  5mg,Tablet,2,2,1,7/27/2024,2:35PM,Drug
1196977,4.26012E+12,prednisolon  5mg,Tablet,2,2,1,7/27/2024,2:35PM,Drug
