Invoice,barcode,name,dosage_form,Sheet,Sales_Sheet,Sales_pack,addeddate,time_,type
1195556,215,Allermine 25mg,Tablet,1,1,1,5/22/2024,6:53PM,Drug
1195556,682,Ronic 0.1% ,Eye Drop,1,1,1,5/22/2024,6:15PM,Drug
1195558,5.06015E+12,Amoxicillin 500mg ,Capsule,1,1,1,7/9/2024,9:00PM,Drug
1195558,3.58291E+12,Profenid 100mg,Tablet,2,2,1,7/9/2024,8:26PM,Drug
1195558,6.2811E+12,Winex 400,Capsule,1,1,1,7/9/2024,8:26PM,Drug
1195581,1063,R.A-C,gerawa,1,1,1,10/2/2024,2:17PM,Drug
1195581,1062,A.M-E.C,gerawa,1,1,1,10/2/2024,2:15PM,Drug
1195581,8.90425E+12,istovin 20mg,Capsule,3,2,0,10/2/2024,2:15PM,Drug
1195581,4.26012E+12,TMS forte 800/160mg,Tablet,1,1,1,10/2/2024,2:15PM,Drug
1195581,8.40274E+11,king vitamin E,Soap,1,1,1,10/2/2024,2:14PM,Supply
1195581,4.26012E+12,TMS forte 800/160mg,Tablet,1,2,2,10/2/2024,2:14PM,Drug
1195629,5.31009E+12,Trimoksazol  (400+80)mg,Tablet,2,1,0,10/12/2024,5:42PM,Drug
1195629,8.90425E+12,istovin 20mg,Capsule,3,2,0,10/12/2024,5:42PM,Drug
1195629,8.90415E+12,benzoyl gel 5% CORAL,gel,1,1,1,10/12/2024,5:42PM,Drug
1195629,8.40274E+11,king vitamin E,Soap,1,1,1,10/12/2024,5:42PM,Supply
1195629,8.40274E+11,SULPHUR %10 (sulphatan),Soap,1,1,1,10/12/2024,5:42PM,Supply
1195629,1069,C%2-A,gerawa,1,1,1,10/12/2024,5:42PM,Drug
1195649,3.6604E+12,cystiphane biorga hair loss,Shampoo,1,1,1,6/16/2024,7:09PM,Supply
1195671,1069,C%2-A,gerawa,1,1,1,1/24/2024,1:16PM,Drug
1195671,3.4014E+12,ISIS unitone 4 white,Cream,1,1,1,1/24/2024,1:16PM,Supply
1195671,2254,LA ROCHE-Posay Anthelios +50 shaka fluid,fluide,1,1,1,1/24/2024,1:16PM,Supply
1195671,3.0315E+12,ISIS Teen Derm,gel,1,1,1,1/24/2024,1:16PM,Supply
1195671,3.0315E+12,ISIS Teen Derm,gel,1,1,1,1/24/2024,1:16PM,Supply
1195694,1065,S.A % 1.5 -E.O,gerawa,1,1,1,12/5/2024,2:13PM,Drug
1195694,4.26012E+12,prednisolon  5mg,Tablet,2,1,0,12/5/2024,2:13PM,Drug
1195694,4.26022E+12,CAELIN VITAMIN E PLUS,Soap,1,1,1,12/5/2024,2:12PM,Supply
1195694,4.26012E+12,prednisolon  5mg,Tablet,2,2,1,12/5/2024,2:12PM,Drug
1195702,1063,R.A-C,gerawa,1,1,1,10/22/2024,2:28PM,Drug
1195702,4.26012E+12,prednisolon  5mg,Tablet,2,2,1,10/22/2024,2:27PM,Drug
1195702,215,Allermine 25mg,Tablet,1,1,1,10/22/2024,2:27PM,Drug
1195702,215,Allermine 25mg,Tablet,1,1,1,10/22/2024,2:27PM,Drug
1195702,1690,D-Lortin 5mg,Tablet,3,3,1,10/22/2024,2:27PM,Drug
1195702,3.40158E+12,BIODERMA SEBIUM,foaming jel,1,1,1,10/22/2024,2:27PM,Supply
1195795,6.25301E+12,Scarmed silicon gel,Skin Gel,1,1,1,7/13/2024,7:32PM,Drug
1195795,5.70219E+12,Fucidine 15G cream,Cream,1,1,1,7/13/2024,7:32PM,Drug
1195871,3.6604E+12,cystiphane biorga,Tablet,6,6,1,5/18/2024,4:33PM,Drug
1195907,3.7601E+12,ACM DEPIWHITE ADVANCED,Cream,1,1,1,6/26/2024,6:22PM,Supply
1195923,8.69918E+12,papatya  loka,cotton,1,1,1,4/20/2024,7:16PM,Supply
1195944,1069,C%2-A,gerawa,1,1,1,12/18/2024,1:30PM,Drug
1195944,8.69972E+12,Trimoks 480mg,Tablet,3,3,1,12/18/2024,1:30PM,Drug
1195944,4.26022E+12,caelin %2 sulfur,Soap,1,1,1,12/18/2024,1:30PM,Supply
1195944,3.49932E+12,Benzac AC 5%,Cream,1,1,1,12/18/2024,1:30PM,Drug
1195944,8.90425E+12,istovin 20mg,Capsule,3,6,2,12/18/2024,1:30PM,Drug
1195970,6.95183E+12,easymed syringe 10ml med,Syring,100,2,0,7/6/2024,3:35PM,Drug
1195970,1059,sterile pyrogen-free %9 500ml,Liquid,1,1,1,7/6/2024,3:34PM,Supply
1195970,-1319732,micropore 3m SPi plaster lut,instrument,24,3,0,7/6/2024,3:34PM,Supply
1195970,1060,clorocil 5g Eye Ointments,Ointment,1,1,1,7/6/2024,3:34PM,Drug
1195970,8.69958E+12,Nevotek 500mg,Tablet,1,1,1,7/6/2024,3:34PM,Drug
1195970,6.95589E+12,Gauze Swam 10*10 bchuk,gauze,1,1,1,7/6/2024,3:33PM,Supply
1195992,1062,A.M-E.C,gerawa,1,1,1,6/17/2024,11:53AM,Drug
1195992,3.28277E+12,avene Cleanance spf 50,Cream,1,1,1,6/17/2024,11:53AM,Supply
1195992,4.26022E+12,caelin %2 sulfur,Soap,1,1,1,6/17/2024,11:53AM,Supply
1196005,1069,C%2-A,gerawa,1,1,1,6/4/2024,3:10PM,Drug
1196005,1062,A.M-E.C,gerawa,1,1,1,6/4/2024,3:10PM,Drug
1196005,8.69972E+12,Trimoks 480mg,Tablet,3,3,1,6/4/2024,3:09PM,Drug
1196005,8.90425E+12,istovin 20mg,Capsule,3,1,0,6/4/2024,3:09PM,Drug
1196013,1062,A.M-E.C,gerawa,1,1,1,8/9/2024,3:55PM,Drug
1196013,8.69972E+12,Trimoks 480mg,Tablet,3,3,1,8/9/2024,3:55PM,Drug
1196013,3.49932E+12,Benzac AC 5%,Cream,1,1,1,8/9/2024,3:55PM,Drug
1196033,1060,clorocil 5g Eye Ointments,Ointment,1,2,2,5/12/2024,2:32PM,Drug
1196033,-1319732,micropore 3m SPi plaster lut,instrument,24,5,0,5/12/2024,2:32PM,Supply
1196033,8.6802E+12,Levoximed  500mg,Tablet,1,1,1,5/12/2024,2:32PM,Drug
1196033,1059,sterile pyrogen-free %9 500ml,Liquid,1,2,2,5/12/2024,2:32PM,Supply
1196057,5.05456E+12,Dr. best orginal soft toothbrush,toothbrush,1,1,1,4/21/2024,4:03PM,Supply
1196057,8.47E+12,Fluor-kin anticaries,Toothpaste,1,1,1,4/21/2024,4:03PM,Supply
1196115,1067,S.A %3 -D,gerawa,1,1,1,10/21/2024,2:57PM,Drug
1196115,3.7601E+12,ACM DEPIWHITE ADVANCED,Cream,1,1,1,10/21/2024,2:57PM,Supply
1196156,1069,C%2-A,gerawa,1,1,1,1/12/2024,2:06PM,Drug
1196156,1062,A.M-E.C,gerawa,1,1,1,1/12/2024,2:06PM,Drug
1196156,1063,R.A-C,gerawa,1,1,1,1/12/2024,2:06PM,Drug
1196156,8.90425E+12,istovin 20mg,Capsule,3,2,0,1/12/2024,2:06PM,Drug
1196156,4.26022E+12,caelin %2 sulfur,Soap,1,1,1,1/12/2024,2:06PM,Supply
1196178,5.31009E+12,Betasalek 30g ,Ointment,1,1,1,8/12/2024,3:23PM,Drug
1196178,6.25116E+12,Uciderm-B Cream,Cream,1,1,1,8/12/2024,3:23PM,Drug
1196184,1060,clorocil 5g Eye Ointments,Ointment,1,1,1,10/29/2024,3:41PM,Drug
1196184,8.59561E+12,Heal Fast gel 50ml,Cream,1,1,1,10/29/2024,3:41PM,Supply
1196184,5.90765E+12,Cosinus 60ml NOSE AND SINUSES,spray,1,1,1,10/29/2024,3:41PM,Drug
1196184,5.90765E+12,Cosinus 60ml NOSE AND SINUSES,spray,1,1,1,10/29/2024,3:41PM,Drug
1196253,-1319732,micropore 3m SPi plaster lut,instrument,24,5,0,7/12/2024,3:16PM,Supply
1196253,6.95183E+12,easymed syringe 10ml med,Syring,100,1,0,7/12/2024,3:16PM,Drug
1196253,1060,clorocil 5g Eye Ointments,Ointment,1,2,2,7/12/2024,3:15PM,Drug
