Invoice,barcode,name,dosage_form,Sheet,Sales_Sheet,Sales_pack,addeddate,time_,type
1195578,4.26012E+12,prednisolon  5mg,Tablet,2,2,1,4/15/2024,2:11PM,Drug
1195578,8.40274E+11,king vitamin E,Soap,1,1,1,4/15/2024,2:11PM,Supply
1195578,8.69957E+12,Ketoral,Shampoo,1,1,1,4/15/2024,2:11PM,Supply
1195578,4.26022E+12,caelin %5 sulfur,Soap,1,1,1,4/15/2024,2:11PM,Supply
1195578,6.25111E+12,Elna 0.1% cream,Cream,1,1,1,4/15/2024,2:11PM,Drug
1195578,8.90425E+12,istovin 20mg,Capsule,3,2,0,4/15/2024,2:11PM,Drug
1195673,1069,C%2-A,gerawa,1,1,1,6/17/2024,1:19PM,Drug
1195673,8.05962E+12,ninfe cleansing gel  200ml,gel,1,1,1,6/17/2024,1:19PM,Supply
1195673,2254,LA ROCHE-Posay Anthelios +50 shaka fluid,fluide,1,1,1,6/17/2024,1:19PM,Supply
1195673,3.7601E+12,novophan energizing,Shampoo,1,1,1,6/17/2024,1:19PM,Supply
1195785,1060,clorocil 5g Eye Ointments,Ointment,1,1,1,4/20/2024,6:57PM,Drug
1195785,5.90765E+12,Cosinus 60ml NOSE AND SINUSES,spray,1,2,2,4/20/2024,6:56PM,Drug
1195805,3.0315E+12,GLYCO A %12,Cream,1,1,1,11/20/2024,7:57PM,Supply
1195813,3.40138E+12,BIODERMA Atoderm intensive Baume  200ml,Lotion,1,1,1,1/14/2024,10:02PM,Supply
1195815,32,Diovan 80mg,Tablet,2,2,1,5/27/2024,10:14PM,Drug
1195819,6.25188E+12,Piodol 500mg ADVANCE,Tablet,2,1,0,1/27/2024,11:36AM,Drug
1195870,8.69958E+12,dILAPROST 5mg ,Tablet,3,3,1,2/16/2024,4:28PM,Drug
1195870,1069,C%2-A,gerawa,1,1,1,2/16/2024,4:28PM,Drug
1195870,1063,R.A-C,gerawa,1,1,1,2/16/2024,4:28PM,Drug
1195870,3.40135E+12,Sebium photoderm AKN Mat spf 30 40ml,Cream,1,1,1,2/16/2024,4:28PM,Supply
1195870,3.0315E+12,ISIS Teen Derm,gel,1,1,1,2/16/2024,4:28PM,Supply
1195870,8.90425E+12,istovin 20mg,Capsule,3,2,0,2/16/2024,4:28PM,Drug
1195889,6.25116E+12,Mesone ,Cream,1,3,3,7/10/2024,5:34PM,Drug
1195889,1066,S-Z.O,gerawa,1,7,7,7/10/2024,5:32PM,Drug
1195889,4.26012E+12,prednisolon  5mg,Tablet,2,8,4,7/10/2024,5:32PM,Drug
1195889,215,Allermine 25mg,Tablet,1,2,2,7/10/2024,5:31PM,Drug
1196007,3.28278E+12,Avene Cicalfate,Cream,1,1,1,7/17/2024,3:17PM,Supply
1196007,3.28278E+12,Avene Cicalfate,Cream,1,1,1,7/17/2024,3:17PM,Supply
1196007,3.28278E+12,Avene Cicalfate,Cream,1,1,1,7/17/2024,3:17PM,Supply
1196021,8.90601E+12,BiLuma Cream 15gm,Cream,1,1,1,9/10/2024,6:34PM,Supply
1196049,215,Allermine 25mg,Tablet,1,1,1,12/12/2024,3:17PM,Drug
1196074,4.81013E+12,Dexamethasone 10 ampoules,SOLUTION,10,16,1,8/1/2024,5:52PM,Supply
1196174,8.40274E+11,SULPHUR %10 (sulphatan),Soap,1,1,1,11/29/2024,3:16PM,Supply
1196182,1069,C%2-A,gerawa,1,1,1,9/16/2024,3:29PM,Drug
1196182,3.49932E+12,Benzac AC 5%,Cream,1,1,1,9/16/2024,3:29PM,Drug
1196182,4.26022E+12,caelin %2 sulfur,Soap,1,1,1,9/16/2024,3:29PM,Supply
1196182,4.26022E+12,caelin ketovit shampoo,Shampoo,1,1,1,9/16/2024,3:29PM,Supply
1196297,8.43603E+12,KIN whitening,Toothpaste,1,1,1,2/15/2024,1:58PM,Supply
1196297,5.05456E+12,Dr.best orginal medium toothbrush,toothbrush,1,1,1,2/15/2024,1:58PM,Supply
1196297,8.71716E+12,Signal +6 tooth paste,Toothpaste,1,1,1,2/15/2024,1:58PM,Supply
1196297,1069,C%2-A,gerawa,1,1,1,2/15/2024,1:57PM,Drug
1196297,4.26022E+12,caelin %2 sulfur,Soap,1,1,1,2/15/2024,1:57PM,Supply
1196297,8.69972E+12,Trimoks 480mg,Tablet,3,3,1,2/15/2024,1:57PM,Drug
1196297,8.90605E+12,isotoin 20mg USP,Capsule,3,2,0,2/15/2024,1:57PM,Drug
1196297,3.49932E+12,Benzac AC 5%,Cream,1,1,1,2/15/2024,1:57PM,Drug
1196297,8.40274E+11,SULPHUR %10 (sulphatan),Soap,1,1,1,2/15/2024,1:57PM,Supply
1196297,6.25107E+12,Amoclan Bid 1g,Tablet,1,1,1,2/15/2024,1:57PM,Drug
1196297,5.70219E+12,Fucidine 15G cream,Cream,1,1,1,2/15/2024,1:57PM,Drug
1196297,8.40274E+11,queen aromatherapy grad,Soap,1,1,1,2/15/2024,1:57PM,Supply
1196297,8.40274E+11,queen aromatherapy grad,Soap,1,1,1,2/15/2024,1:57PM,Supply
1196420,8.90605E+12,isotoin 20mg USP,Capsule,3,2,0,10/28/2024,12:39PM,Drug
1196420,8.40274E+11,queen aromatherapy grad,Soap,1,1,1,10/28/2024,12:39PM,Supply
1196420,1063,R.A-C,gerawa,1,1,1,10/28/2024,12:38PM,Drug
1196420,1062,A.M-E.C,gerawa,1,1,1,10/28/2024,12:38PM,Drug
1196420,3.40135E+12,Sebium photoderm AKN Mat spf 30 40ml,Cream,1,1,1,10/28/2024,12:38PM,Supply
1196421,5.70219E+12,Fucidine 15G oint,Ointment,1,1,1,4/11/2024,1:06PM,Drug
1196421,4.26022E+12,CAELIN  BABY CARE,Soap,1,1,1,4/11/2024,1:06PM,Supply
1196421,2254,LA ROCHE-Posay Anthelios +50 shaka fluid,fluide,1,1,1,4/11/2024,1:05PM,Supply
1196421,4.26022E+12,caelin %2 sulfur,Soap,1,1,1,4/11/2024,1:05PM,Supply
1196421,4.26022E+12,caelin %2 sulfur,Soap,1,1,1,4/11/2024,1:05PM,Supply
1196421,1062,A.M-E.C,gerawa,1,1,1,4/11/2024,1:05PM,Drug
1196421,1062,A.M-E.C,gerawa,1,1,1,4/11/2024,1:05PM,Drug
1196421,1063,R.A-C,gerawa,1,1,1,4/11/2024,1:05PM,Drug
1196421,1063,R.A-C,gerawa,1,1,1,4/11/2024,1:05PM,Drug
1196421,1069,C%2-A,gerawa,1,1,1,4/11/2024,1:05PM,Drug
1196421,1069,C%2-A,gerawa,1,1,1,4/11/2024,1:05PM,Drug
1196426,4.26022E+12,caelin ketovit shampoo,Shampoo,1,1,1,8/29/2024,2:14PM,Supply
1196426,126,Canesten 20g skin cream,Cream,1,1,1,8/29/2024,2:14PM,Drug
1196426,1082,alfacort cream,Cream,1,1,1,8/29/2024,2:14PM,Drug
1196505,1062,A.M-E.C,gerawa,1,1,1,6/19/2024,3:30PM,Drug
1196505,1063,R.A-C,gerawa,1,1,1,6/19/2024,3:30PM,Drug
1196505,8.40274E+11,queen aromatherapy grad,Soap,1,1,1,6/19/2024,3:29PM,Supply
1196505,8.43701E+12,BABE NEW NUEVO SPF 50,Cream,1,1,1,6/19/2024,3:29PM,Supply
1196524,1062,A.M-E.C,gerawa,1,1,1,11/1/2024,5:21PM,Drug
1196524,3.0315E+12,ISIS unitone 4 white advanced,serum,1,1,1,11/1/2024,5:21PM,Supply
