Invoice,barcode,name,dosage_form,Sheet,Sales_Sheet,Sales_pack,addeddate,time_,type
1195561,6.25188E+12,decopect 100ml - syrup,Syrup,1,1,1,2/20/2024,9:54PM,Drug
1195574,1063,R.A-C,gerawa,1,1,1,7/31/2024,1:47PM,Drug
1195574,1062,A.M-E.C,gerawa,1,1,1,7/31/2024,1:47PM,Drug
1195574,8.40274E+11,king vitamin E,Soap,1,1,1,7/31/2024,1:47PM,Supply
1195574,8.90415E+12,benzoyl gel 5% CORAL,gel,1,1,1,7/31/2024,1:47PM,Drug
1195574,8.43701E+12,BABE NEW NUEVO SPF 50,Cream,1,1,1,7/31/2024,1:47PM,Supply
1195574,3.0315E+12,ISIS Teen Derm,gel,1,1,1,7/31/2024,1:46PM,Supply
1195623,8.71555E+12,Duphaston 10mg اصلى,Tablet,1,1,1,9/23/2024,5:15PM,Drug
1195631,1690,D-Lortin 5mg,Tablet,3,4,1,3/17/2024,5:44PM,Drug
1195631,6.2911E+12,Asmafort tablet,Tablet,1,2,2,3/17/2024,5:44PM,Drug
1195631,4.26012E+12,prednisolon  5mg,Tablet,2,5,2,3/17/2024,5:44PM,Drug
1195678,3.0315E+12,ISIS unitone 4 white advanced,serum,1,1,1,1/14/2024,1:30PM,Supply
1195678,1069,C%2-A,gerawa,1,1,1,1/14/2024,1:30PM,Drug
1195678,2254,LA ROCHE-Posay Anthelios +50 shaka fluid,fluide,1,1,1,1/14/2024,1:29PM,Supply
1195678,3.40158E+12,BIODERMA SEBIUM,foaming jel,1,1,1,1/14/2024,1:29PM,Supply
1195690,5.06023E+12,Ziromin 500mg,Tablet,1,1,1,3/4/2024,2:06PM,Drug
1195690,8.43701E+12,Babe hydro24 reactive skin,Cream,1,1,1,3/4/2024,2:06PM,Supply
1195690,5.06023E+12,Ziromin 500mg,Tablet,1,1,1,3/4/2024,2:06PM,Drug
1195751,6.25116E+12,Mesone,Ointment,1,1,1,8/4/2024,5:19PM,Drug
1195755,1073,P-M 30ml or 40ml,gerawa,1,1,1,8/8/2024,5:31PM,Drug
1195755,3.6604E+12,cystiphane biorga hair loss,Shampoo,1,1,1,8/8/2024,5:31PM,Supply
1195799,8.90114E+12,koflet,Syrup,1,1,1,9/25/2024,7:39PM,Drug
1195863,3.6604E+12,cystiphane biorga,Tablet,6,6,1,1/5/2024,4:09PM,Drug
1195863,3.6604E+12,cystiphane biorga hair loss,Shampoo,1,1,1,1/5/2024,4:09PM,Supply
1195945,1080,S.A-L.A-D,gerawa,1,1,1,2/25/2024,1:38PM,Drug
1195977,5.29093E+12,NAUTISOL 5 MG,Tablet,2,2,1,2/8/2024,4:57PM,Drug
1195977,5.29093E+12,NAUTISOL 5 MG,Tablet,2,2,1,2/8/2024,4:57PM,Drug
1196011,6.2911E+12,Risek 40mg cap,Capsule,1,1,1,1/30/2024,3:48PM,Drug
1196066,4.26012E+12,prednisolon  5mg,Tablet,2,2,1,6/10/2024,5:23PM,Drug
