Invoice,barcode,name,dosage_form,Sheet,Sales_Sheet,Sales_pack,addeddate,time_,type
1195548,5.06023E+12,Ziromin 500mg,Tablet,1,1,1,6/14/2024,6:53PM,Drug
1195579,8.40274E+11,queen aromatherapy grad,Soap,1,1,1,8/15/2024,2:12PM,Supply
1195625,1065,S.A % 1.5 -E.O,gerawa,1,1,1,6/19/2024,5:17PM,Drug
1195625,4.26022E+12,CAELIN  BABY CARE,Soap,1,1,1,6/19/2024,5:17PM,Supply
1195625,-10420418,RUGARD UREA %10,Cream,1,1,1,6/19/2024,5:16PM,Supply
1195650,3.40158E+12,BIODERMA SEBIUM,foaming jel,1,1,1,2/15/2024,7:10PM,Supply
1195650,3.6604E+12,cystiphane biorga hair loss,Shampoo,1,1,1,2/15/2024,7:09PM,Supply
1195764,1062,A.M-E.C,gerawa,1,1,1,3/23/2024,6:06PM,Drug
1195764,1063,R.A-C,gerawa,1,1,1,3/23/2024,6:06PM,Drug
1195764,8.90415E+12,benzoyl gel 5% CORAL,gel,1,1,1,3/23/2024,6:05PM,Drug
1195764,5.06023E+12,Ziromin 500mg,Tablet,1,5,5,3/23/2024,6:05PM,Drug
1195769,1062,A.M-E.C,gerawa,1,1,1,1/6/2024,6:11PM,Drug
1195769,1069,C%2-A,gerawa,1,1,1,1/6/2024,6:11PM,Drug
1195769,8.90425E+12,istovin 20mg,Capsule,3,2,0,1/6/2024,6:11PM,Drug
1195769,8.40274E+11,queen aromatherapy grad,Soap,1,1,1,1/6/2024,6:10PM,Supply
1195769,3.0315E+12,ISIS unitone 4 white advanced,serum,1,1,1,1/6/2024,6:10PM,Supply
1195817,6.2911E+12,Julmentin fort  625mg,Tablet,4,2,0,12/30/2024,11:28AM,Drug
1195838,8.90111E+12,Talimus 0.1%,Ointment,1,1,1,3/14/2024,2:42PM,Drug
1195842,1065,S.A % 1.5 -E.O,gerawa,1,1,1,1/19/2024,2:54PM,Drug
1195842,4.26012E+12,prednisolon  5mg,Tablet,2,2,1,1/19/2024,2:54PM,Drug
1195842,4.26022E+12,CAELIN  BABY CARE,Soap,1,1,1,1/19/2024,2:53PM,Supply
1195842,6490,Chlomal 100ml,Syrup,1,1,1,1/19/2024,2:53PM,Drug
1195856,1069,C%2-A,gerawa,1,1,1,8/15/2024,3:36PM,Drug
1195963,1069,C%2-A,gerawa,1,1,1,2/5/2024,3:04PM,Drug
1195963,1062,A.M-E.C,gerawa,1,1,1,2/5/2024,3:04PM,Drug
1195963,4.26022E+12,caelin %2 sulfur,Soap,1,1,1,2/5/2024,3:03PM,Supply
1195963,8.69972E+12,Trimoks 480mg,Tablet,3,3,1,2/5/2024,3:03PM,Drug
1195963,8.90425E+12,istovin 20mg,Capsule,3,2,0,2/5/2024,3:03PM,Drug
1195963,3.49932E+12,Benzac AC 5%,Cream,1,1,1,2/5/2024,3:03PM,Drug
1196018,1069,C%2-A,gerawa,1,1,1,12/1/2024,4:51PM,Drug
1196018,1063,R.A-C,gerawa,1,1,1,12/1/2024,4:51PM,Drug
1196018,1062,A.M-E.C,gerawa,1,1,1,12/1/2024,4:51PM,Drug
1196018,8.90425E+12,istovin 20mg,Capsule,3,2,0,12/1/2024,4:51PM,Drug
1196018,4.26022E+12,caelin %2 sulfur,Soap,1,1,1,12/1/2024,4:51PM,Supply
1196029,9.5011E+12,Opizole B,Cream,1,1,1,7/9/2024,1:49PM,Drug
1196190,5.70219E+12,Fucidine 15G cream,Cream,1,1,1,4/9/2024,4:31PM,Drug
1196190,6.25107E+12,Amoclan Bid 1g,Tablet,1,1,1,4/9/2024,4:31PM,Drug
1196190,3.7601E+12,ACM DEPIWHITE Mask,MASK,1,1,1,4/9/2024,4:31PM,Supply
