Invoice,barcode,name,dosage_form,Sheet,Sales_Sheet,Sales_pack,addeddate,time_,type
1195572,1065,S.A % 1.5 -E.O,gerawa,1,1,1,5/25/2024,1:17PM,Drug
1195572,3.40156E+12,BIODERMA Photoderm  max  spf 50  40ml toucher  sec dry touch,Cream,1,1,1,5/25/2024,1:16PM,Supply
1195572,4.26012E+12,prednisolon  5mg,Tablet,2,2,1,5/25/2024,1:16PM,Drug
1195572,8.90605E+12,Retilab-A 30g gel laborate,gel,1,1,1,5/25/2024,1:16PM,Drug
1195683,8.43701E+12,BABE NEW NUEVO SPF 50,Cream,1,1,1,2/27/2024,1:47PM,Supply
1195685,1073,P-M 30ml or 40ml,gerawa,1,1,1,11/25/2024,1:50PM,Drug
1195708,1069,C%2-A,gerawa,1,1,1,4/17/2024,2:37PM,Drug
1195708,1062,A.M-E.C,gerawa,1,1,1,4/17/2024,2:35PM,Drug
1195708,1063,R.A-C,gerawa,1,1,1,4/17/2024,2:35PM,Drug
1195708,8.90425E+12,istovin 20mg,Capsule,3,1,0,4/17/2024,2:34PM,Drug
1195708,4.26022E+12,caelin %2 sulfur,Soap,1,1,1,4/17/2024,2:34PM,Supply
1195756,6.2911E+12,MEBO,Ointment,1,1,1,9/10/2024,5:32PM,Drug
1195853,1065,S.A % 1.5 -E.O,gerawa,1,1,1,6/14/2024,3:34PM,Drug
1195853,1063,R.A-C,gerawa,1,1,1,6/14/2024,3:34PM,Drug
1195853,1062,A.M-E.C,gerawa,1,1,1,6/14/2024,3:34PM,Drug
1195853,1069,C%2-A,gerawa,1,1,1,6/14/2024,3:33PM,Drug
1195853,8.40274E+11,queen aromatherapy grad,Soap,1,1,1,6/14/2024,3:33PM,Supply
1195883,8.90146E+12,isomac 10,Capsule,3,1,0,10/30/2024,5:03PM,Drug
1195909,6.2911E+12,Asmafort syrup,Syrup,1,1,1,4/11/2024,6:46PM,Drug
1195922,3.76025E+12,Novasil H 0.1%,Lotion,1,1,1,8/9/2024,7:06PM,Drug
1195922,8.90425E+12,istovin 20mg,Capsule,3,2,0,8/9/2024,7:06PM,Drug
1195922,4.26022E+12,caelin ketovit shampoo,Shampoo,1,1,1,8/9/2024,7:06PM,Supply
1195933,6.25116E+12,FEFOL,Capsule,3,3,1,2/18/2024,7:52PM,Drug
1195943,1063,R.A-C,gerawa,1,1,1,3/21/2024,1:23PM,Drug
1195943,1062,A.M-E.C,gerawa,1,1,1,3/21/2024,1:23PM,Drug
1195943,1069,C%2-A,gerawa,1,1,1,3/21/2024,1:22PM,Drug
1195943,4.26022E+12,caelin %2 sulfur,Soap,1,1,1,3/21/2024,1:22PM,Supply
1195943,8.43701E+12,BABE NEW NUEVO SPF 50,Cream,1,1,1,3/21/2024,1:22PM,Supply
1196014,8.90425E+12,istovin 20mg,Capsule,3,2,0,2/18/2024,4:03PM,Drug
1196014,8.69972E+12,Trimoks 480mg,Tablet,3,3,1,2/18/2024,4:01PM,Drug
1196014,8.43701E+12,BABE NEW NUEVO SPF 50,Cream,1,1,1,2/18/2024,4:01PM,Supply
1196014,1069,C%2-A,gerawa,1,1,1,2/18/2024,4:01PM,Drug
1196014,1062,A.M-E.C,gerawa,1,1,1,2/18/2024,4:01PM,Drug
1196014,4.26022E+12,caelin %2 sulfur,Soap,1,1,1,2/18/2024,4:01PM,Supply
1196014,3.49932E+12,Benzac AC 5%,Cream,1,1,1,2/18/2024,4:00PM,Drug
1196031,6.25107E+12,NOPAIN   D.S.,Tablet,1,1,1,1/5/2024,2:22PM,Drug
1196031,8.69962E+12,Irazole  100mg  15tab,Capsule,3,3,1,1/5/2024,2:22PM,Drug
1196031,1083,Conesten 20mg Cream,Cream,1,1,1,1/5/2024,2:22PM,Drug
1196031,4.26022E+12,caelin %5 sulfur,Soap,1,1,1,1/5/2024,2:22PM,Supply
1196073,1078,T.C.A,gerawa,1,2,2,9/13/2024,5:51PM,Supply
1196082,0000i4,Dermodin oint,Ointment,1,1,1,3/6/2024,12:37PM,Drug
1196108,6.25188E+12,piodol cold&flu day,Tablet,2,2,1,5/27/2024,2:29PM,Drug
1196127,1004,L-Thyroxin 100 Berlin-Chemie,Tablet,4,4,1,10/31/2024,4:08PM,Drug
1196153,4.26022E+12,CAELIN VITAMIN E PLUS,Soap,1,1,1,11/15/2024,1:55PM,Supply
1196153,6.26015E+12,hydroderm arbutin,Cream,1,1,1,11/15/2024,1:55PM,Supply
1196220,6.29401E+12,PanaLife 500mg ,Tablet,8,1,0,8/21/2024,6:27PM,Drug
1196220,4.823E+12,Injesta 2.5% 1ml,SOLUTION,5,2,0,8/21/2024,6:26PM,Drug
1196240,8.90601E+12,BiLuma Cream 15gm,Cream,1,1,1,5/8/2024,2:07PM,Supply
1196269,-1319732,micropore 3m SPi plaster lut,instrument,24,5,0,10/1/2024,4:27PM,Supply
1196269,6.95183E+12,easymed syringe 10ml med,Syring,100,2,0,10/1/2024,4:26PM,Drug
1196269,1059,sterile pyrogen-free %9 500ml,Liquid,1,1,1,10/1/2024,4:26PM,Supply
1196269,1060,clorocil 5g Eye Ointments,Ointment,1,2,2,10/1/2024,4:26PM,Drug
1196269,3.58291E+12,Tavanic 500mg Original,Tablet,1,1,1,10/1/2024,4:26PM,Drug
1196376,8.90605E+12,isotoin 20mg USP,Capsule,3,2,0,10/16/2024,2:28PM,Drug
1196376,8.69962E+12,Irazole  100mg  15tab,Capsule,3,3,1,10/16/2024,2:27PM,Drug
1196376,8.40274E+11,SULPHUR %10 (sulphatan),Soap,1,1,1,10/16/2024,2:27PM,Supply
1196376,8.69972E+12,Trimoks 480mg,Tablet,3,3,1,10/16/2024,2:27PM,Drug
1196376,9.5011E+12,Opizole B,Cream,1,1,1,10/16/2024,2:27PM,Drug
1196376,4.26022E+12,caelin ketovit shampoo,Shampoo,1,1,1,10/16/2024,2:27PM,Supply
1196483,1062,A.M-E.C,gerawa,1,1,1,5/4/2024,11:50AM,Drug
1196483,1063,R.A-C,gerawa,1,1,1,5/4/2024,11:50AM,Drug
1196483,8.40274E+11,queen aromatherapy grad,Soap,1,1,1,5/4/2024,11:50AM,Supply
1196493,5.70219E+12,Fucidine 15G oint,Ointment,1,1,1,12/17/2024,2:06PM,Drug
1196493,4.823E+12,moleskin %0.1 ointment,Ointment,1,1,1,12/17/2024,2:06PM,Drug
1196497,8.71045E+12,Signal 0-6 tooth paste,Toothpaste,1,1,1,8/14/2024,3:34PM,Supply
1196503,5.70219E+12,Fucidine 15G oint,Ointment,1,1,1,11/27/2024,3:03PM,Drug
1196503,4.26022E+12,CAELIN  BABY CARE,Soap,1,1,1,11/27/2024,3:03PM,Supply
1196503,6490,Chlomal 100ml,Syrup,1,1,1,11/27/2024,3:03PM,Drug
1196503,1065,S.A % 1.5 -E.O,gerawa,1,1,1,11/27/2024,3:03PM,Drug
1196503,8146329,Atoderm intensive baume 75ml,BALM,1,1,1,11/27/2024,3:03PM,Supply
1196543,8.59561E+12,Heal Fast gel 50ml,Cream,1,1,1,12/16/2024,2:16PM,Supply
1196543,5.90765E+12,Cosinus 60ml NOSE AND SINUSES,spray,1,1,1,12/16/2024,2:16PM,Drug
1196543,5.90765E+12,Cosinus 60ml NOSE AND SINUSES,spray,1,1,1,12/16/2024,2:16PM,Drug
1196578,1062,A.M-E.C,gerawa,1,1,1,11/5/2024,4:47PM,Drug
1196578,1063,R.A-C,gerawa,1,1,1,11/5/2024,4:47PM,Drug
1196578,1069,C%2-A,gerawa,1,1,1,11/5/2024,4:47PM,Drug
1196578,8.90605E+12,isotoin 20mg USP,Capsule,3,2,0,11/5/2024,4:47PM,Drug
1196619,4.26022E+12,caelin %5 sulfur,Soap,1,1,1,1/5/2024,2:08PM,Supply
1196619,3.57194E+12,noreva KERAPIL,Cream,1,1,1,1/5/2024,2:08PM,Supply
1196620,1067,S.A %3 -D,gerawa,1,1,1,12/31/2024,2:15PM,Drug
1196620,1065,S.A % 1.5 -E.O,gerawa,1,1,1,12/31/2024,2:15PM,Drug
1196620,126,Canesten 20g skin cream,Cream,1,1,1,12/31/2024,2:15PM,Drug
1196620,4.26012E+12,prednisolon  5mg,Tablet,2,2,1,12/31/2024,2:14PM,Drug
1196620,4.26012E+12,prednisolon  5mg,Tablet,2,2,1,12/31/2024,2:14PM,Drug
1196620,8.69962E+12,Irazole  100mg  15tab,Capsule,3,3,1,12/31/2024,2:14PM,Drug
1196628,6.36156E+11,Fertilex PLUS MEN,Capsule,1,1,1,10/21/2024,2:41PM,Drug
1196657,80432400395,P.O,Powder,1,1,1,11/18/2024,4:23PM,Supply
1196733,1069,C%2-A,gerawa,1,1,1,10/8/2024,4:30PM,Drug
1196733,1063,R.A-C,gerawa,1,1,1,10/8/2024,4:29PM,Drug
1196733,1062,A.M-E.C,gerawa,1,1,1,10/8/2024,4:29PM,Drug
1196733,3.0315E+12,ISIS Teen Derm,gel,1,1,1,10/8/2024,4:29PM,Supply
1196741,6.25107E+12,NOPAIN   D.S.,Tablet,1,1,1,10/13/2024,4:45PM,Drug
1196741,215,Allermine 25mg,Tablet,1,1,1,10/13/2024,4:45PM,Drug
1196741,4.26012E+12,prednisolon  5mg,Tablet,2,2,1,10/13/2024,4:45PM,Drug
1196741,4.26012E+12,prednisolon  5mg,Tablet,2,2,1,10/13/2024,4:45PM,Drug
1196788,3.59654E+12,Glucophage 850mg,Tablet,5,3,0,12/27/2024,12:20PM,Drug
1196788,8.90112E+12,cytomid 250mg,Tablet,10,6,0,12/27/2024,12:20PM,Drug
1196806,4.00173E+12,Multivitamin hansal,effervecent tabalet,1,1,1,4/14/2024,3:24PM,Drug
1196806,5.02305E+12,KiloLoss,Capsule,1,1,1,4/14/2024,3:24PM,Supply
1196806,5.94896E+11,Drains The oil,Capsule,2,1,0,4/14/2024,3:24PM,Supply
1196806,-2033469,T.R,Tablet,3,3,1,4/14/2024,3:24PM,Drug
1196848,-2033469,T.R,Tablet,3,3,1,1/28/2024,6:28PM,Drug
1196848,4.00173E+12,Multivitamin hansal,effervecent tabalet,1,1,1,1/28/2024,6:28PM,Drug
1196848,8.6804E+12,Selovita-D3 300.000 I.U/ml,Amp,1,1,1,1/28/2024,6:28PM,Drug
1196848,8.6804E+12,Selovita-D3 300.000 I.U/ml,Amp,1,1,1,1/28/2024,6:28PM,Drug
1196848,6.26015E+12,C-Lax,Capsule,3,1,0,1/28/2024,6:28PM,Supply
1196850,3.58291E+12,doliprane 500 mg,Tablet,1,1,1,8/24/2024,6:31PM,Drug
1196851,760,MYDOCALM 150mg  LABATEC PHARMA,Tablet,3,2,0,4/19/2024,6:34PM,Drug
1196851,5.02305E+12,GLME+,Capsule,1,1,1,4/19/2024,6:33PM,Drug
