Invoice,barcode,name,dosage_form,Sheet,Sales_Sheet,Sales_pack,addeddate,time_,type
1195594,1065,S.A % 1.5 -E.O,gerawa,1,1,1,1/29/2024,3:42PM,Drug
1195600,1062,A.M-E.C,gerawa,1,1,1,5/11/2024,3:56PM,Drug
1195600,0000A8,Septrin aspen 480mg ,Tablet,2,2,1,5/11/2024,3:55PM,Drug
1195600,4.26022E+12,caelin %2 sulfur,Soap,1,1,1,5/11/2024,3:55PM,Supply
1195642,8.90111E+12,Talimus 0.1%,Ointment,1,1,1,11/4/2024,6:32PM,Drug
1195642,6.25116E+12,Mesone,Ointment,1,1,1,11/4/2024,6:32PM,Drug
1195642,5.70219E+12,Fucidine 15G cream,Cream,1,1,1,11/4/2024,6:32PM,Drug
1195699,4.26022E+12,CAELIN VITAMIN E PLUS,Soap,1,1,1,12/22/2024,2:26PM,Supply
1195746,4.26022E+12,caelin %2 sulfur,Soap,1,1,1,8/1/2024,4:50PM,Supply
1195774,6.25107E+12,Amoclan Bid 1g,Tablet,1,1,1,3/29/2024,6:22PM,Drug
1195774,UZNPXL,Allerdep spray ,Nasal Spray,1,1,1,3/29/2024,6:22PM,Drug
1195774,7.64015E+12,Xylo Acino 0.1%,spray,1,1,1,3/29/2024,6:22PM,Drug
1195875,8.58801E+12,Aloe and lime lip balm spf 10,lip balm,1,1,1,3/2/2024,4:39PM,Supply
1195890,8.69962E+12,Irazole  100mg  15tab,Capsule,3,3,1,10/28/2024,5:42PM,Drug
1195890,8.69962E+12,Irazole  100mg  1tab,Tablet,1,3,3,10/28/2024,5:42PM,Drug
1195893,8.90425E+12,istovin 20mg,Capsule,3,2,0,8/21/2024,5:52PM,Drug
1195893,1067,S.A %3 -D,gerawa,1,1,1,8/21/2024,5:52PM,Drug
1195893,1069,C%2-A,gerawa,1,1,1,8/21/2024,5:52PM,Drug
1195893,3.49932E+12,Benzac AC 5%,Cream,1,1,1,8/21/2024,5:52PM,Drug
1195893,4.26022E+12,caelin %2 sulfur,Soap,1,1,1,8/21/2024,5:52PM,Supply
1196015,215,Allermine 25mg,Tablet,1,1,1,9/10/2024,4:02PM,Drug
1196015,5.01273E+12,Aciclovir 800mg 35 tablets,Tablet,7,6,0,9/10/2024,4:01PM,Drug
1196015,6.25188E+12,Piodol 500mg ADVANCE,Tablet,2,2,1,9/10/2024,4:01PM,Drug
1196015,5.70219E+12,Fucidine 15G cream,Cream,1,1,1,9/10/2024,4:01PM,Drug
1196015,0000A1,Eromycin  500mg,Tablet,1,3,3,9/10/2024,4:01PM,Drug
1196034,6.95183E+12,easymed syringe 10ml med,Syring,100,4,0,2/8/2024,2:34PM,Drug
1196034,-1319732,micropore 3m SPi plaster lut,instrument,24,5,0,2/8/2024,2:34PM,Supply
1196034,1060,clorocil 5g Eye Ointments,Ointment,1,1,1,2/8/2024,2:34PM,Drug
1196034,6.95589E+12,Gauze Swam 10*10 bchuk,gauze,1,1,1,2/8/2024,2:33PM,Supply
1196034,6.2911E+12,VOXIN 500mg ,Tablet,1,1,1,2/8/2024,2:33PM,Drug
1196046,1069,C%2-A,gerawa,1,1,1,1/23/2024,3:14PM,Drug
1196046,1063,R.A-C,gerawa,1,1,1,1/23/2024,3:13PM,Drug
1196046,1062,A.M-E.C,gerawa,1,1,1,1/23/2024,3:13PM,Drug
1196129,5.70219E+12,Fucidine 15G oint,Ointment,1,1,1,3/7/2024,4:19PM,Drug
1196129,2254,LA ROCHE-Posay Anthelios +50 shaka fluid,fluide,1,1,1,3/7/2024,4:19PM,Supply
1196129,8.90425E+12,istovin 20mg,Capsule,3,2,0,3/7/2024,4:19PM,Drug
1196129,1062,A.M-E.C,gerawa,1,1,1,3/7/2024,4:18PM,Drug
1196129,1063,R.A-C,gerawa,1,1,1,3/7/2024,4:18PM,Drug
1196129,1069,C%2-A,gerawa,1,1,1,3/7/2024,4:18PM,Drug
1196148,1073,P-M 30ml or 40ml,gerawa,1,1,1,8/4/2024,1:20PM,Drug
1196148,2254,LA ROCHE-Posay Anthelios +50 shaka fluid,fluide,1,1,1,8/4/2024,1:19PM,Supply
1196148,1690,D-Lortin 5mg,Tablet,3,3,1,8/4/2024,1:19PM,Drug
1196148,3.33787E+12,Pigmentclar for eye15ml,Cream,1,1,1,8/4/2024,1:19PM,Supply
1196148,8.69958E+12,dILAPROST 5mg ,Tablet,3,3,1,8/4/2024,1:19PM,Drug
1196148,5.70219E+12,Fucidine 15G cream,Cream,1,1,1,8/4/2024,1:19PM,Drug
1196161,1065,S.A % 1.5 -E.O,gerawa,1,1,1,6/5/2024,2:27PM,Drug
1196161,1069,C%2-A,gerawa,1,1,1,6/5/2024,2:27PM,Drug
1196161,3.49932E+12,Benzac AC 5%,Cream,1,1,1,6/5/2024,2:26PM,Drug
1196161,8.90425E+12,istovin 20mg,Capsule,3,2,0,6/5/2024,2:26PM,Drug
1196161,8.69972E+12,Trimoks 480mg,Tablet,3,3,1,6/5/2024,2:26PM,Drug
1196161,4.26022E+12,caelin %2 sulfur,Soap,1,1,1,6/5/2024,2:26PM,Supply
1196163,8.69972E+12,Trimoks 480mg,Tablet,3,3,1,3/1/2024,2:33PM,Drug
1196179,6.02402E+12,HAIR BOOSTER 60gum,gum,1,1,1,8/1/2024,3:24PM,Drug
1196201,6.2911E+12,Julmentin fort  625mg,Tablet,4,4,1,7/28/2024,5:31PM,Drug
1196207,4.26022E+12,CAELIN  BABY CARE,Soap,1,1,1,4/15/2024,5:49PM,Supply
1196207,4.26022E+12,caelin %2 sulfur,Soap,1,1,1,4/15/2024,5:49PM,Supply
1196207,1069,C%2-A,gerawa,1,1,1,4/15/2024,5:49PM,Drug
1196207,1062,A.M-E.C,gerawa,1,1,1,4/15/2024,5:49PM,Drug
1196207,1063,R.A-C,gerawa,1,1,1,4/15/2024,5:49PM,Drug
1196207,2254,LA ROCHE-Posay Anthelios +50 shaka fluid,fluide,1,1,1,4/15/2024,5:49PM,Supply
1196248,-1319732,micropore 3m SPi plaster lut,instrument,24,5,0,6/16/2024,3:09PM,Supply
1196248,6.25188E+12,LEVONEER 500mg,Tablet,1,1,1,6/16/2024,3:08PM,Drug
