Invoice,barcode,name,dosage_form,Sheet,Sales_Sheet,Sales_pack,addeddate,time_,type
1195621,2254,LA ROCHE-Posay Anthelios +50 shaka fluid,fluide,1,1,1,10/21/2024,5:06PM,Supply
1195661,3.40138E+12,ISIS Teen Derm Hydra,Cream,1,1,1,11/23/2024,9:50AM,Supply
1195661,8.90425E+12,istovin 20mg,Capsule,3,3,1,11/23/2024,9:50AM,Drug
1195661,8.43701E+12,STICK LABIAL LIP CARESTICK 20 spf,lip balm,1,1,1,11/23/2024,9:50AM,Supply
1195721,8.69918E+12,papatya  loka,cotton,1,1,1,6/10/2024,3:35PM,Supply
1195721,1063,R.A-C,gerawa,1,1,1,6/10/2024,3:35PM,Drug
1195721,2254,LA ROCHE-Posay Anthelios +50 shaka fluid,fluide,1,1,1,6/10/2024,3:35PM,Supply
1195721,8.90425E+12,istovin 20mg,Capsule,3,2,0,6/10/2024,3:35PM,Drug
1195721,4.26022E+12,caelin %2 sulfur,Soap,1,1,1,6/10/2024,3:35PM,Supply
1195721,1069,C%2-A,gerawa,1,1,1,6/10/2024,3:35PM,Drug
1195784,5.06001E+12,IBUPROFEN  400mg,Tablet,2,2,1,3/9/2024,6:52PM,Drug
1195784,5.06015E+12,Ciprofloxacin 500mg /accord,Tablet,1,1,1,3/9/2024,6:51PM,Drug
1195788,1065,S.A % 1.5 -E.O,gerawa,1,1,1,9/9/2024,7:18PM,Drug
1195788,6490,Chlomal 100ml,Syrup,1,1,1,9/9/2024,7:18PM,Drug
1195788,5.70219E+12,Fucidine 15G cream,Cream,1,1,1,9/9/2024,7:17PM,Drug
1195788,4.26022E+12,CAELIN VITAMIN E PLUS,Soap,1,1,1,9/9/2024,7:17PM,Supply
1195788,4.26012E+12,prednisolon  5mg,Tablet,2,2,1,9/9/2024,7:17PM,Drug
1195792,1065,S.A % 1.5 -E.O,gerawa,1,1,1,9/18/2024,7:23PM,Drug
