Invoice,barcode,name,dosage_form,Sheet,Sales_Sheet,Sales_pack,addeddate,time_,type
1195562,100883,Rennie,Chewable tablet,8,8,1,2/29/2024,11:03PM,Drug
1195587,8.43701E+12,MOISTURISING EMULSION 10SPF 50ml,Cream,1,1,1,9/17/2024,2:56PM,Supply
1195593,1062,A.M-E.C,gerawa,1,1,1,2/21/2024,3:36PM,Drug
1195841,4.26022E+12,CAELIN  BABY CARE,Soap,1,1,1,4/29/2024,2:53PM,Supply
1195841,4.26012E+12,prednisolon  5mg,Tablet,2,2,1,4/29/2024,2:53PM,Drug
1195841,6490,Chlomal 100ml,Syrup,1,1,1,4/29/2024,2:53PM,Drug
1195852,1065,S.A % 1.5 -E.O,gerawa,1,1,1,6/14/2024,3:27PM,Drug
1195852,1067,S.A %3 -D,gerawa,1,1,1,6/14/2024,3:27PM,Drug
1195852,3.40158E+12,BIODERMA SEBIUM,foaming jel,1,1,1,6/14/2024,3:27PM,Supply
1195852,3.7601E+12,ACM DEPIWHITE ADVANCED,Cream,1,1,1,6/14/2024,3:27PM,Supply
1195879,4.26022E+12,caelin %2 sulfur,Soap,1,1,1,3/22/2024,4:52PM,Supply
1195879,8.90425E+12,istovin 20mg,Capsule,3,2,0,3/22/2024,4:52PM,Drug
1195879,5.31009E+12,Trimoksazol  (400+80)mg,Tablet,2,2,1,3/22/2024,4:51PM,Drug
1195879,1069,C%2-A,gerawa,1,1,1,3/22/2024,4:51PM,Drug
1195879,4.26022E+12,caelin %2 sulfur,Soap,1,1,1,3/22/2024,4:51PM,Supply
1195879,3.49932E+12,Benzac AC 5%,Cream,1,1,1,3/22/2024,4:51PM,Drug
1195912,1062,A.M-E.C,gerawa,1,1,1,2/13/2024,6:52PM,Drug
1195912,1069,C%2-A,gerawa,1,1,1,2/13/2024,6:52PM,Drug
1195912,8.90425E+12,istovin 20mg,Capsule,3,2,0,2/13/2024,6:52PM,Drug
1195912,4.26022E+12,caelin %2 sulfur,Soap,1,1,1,2/13/2024,6:51PM,Supply
1195931,8.90425E+12,istovin 20mg,Capsule,3,2,0,1/3/2024,7:33PM,Drug
1195931,1062,A.M-E.C,gerawa,1,1,1,1/3/2024,7:33PM,Drug
1195931,2254,LA ROCHE-Posay Anthelios +50 shaka fluid,fluide,1,1,1,1/3/2024,7:33PM,Supply
1195931,3.7601E+12,ACM DEPIWHITE ADVANCED,Cream,1,1,1,1/3/2024,7:32PM,Supply
1195931,8.40274E+11,queen aromatherapy grad,Soap,1,1,1,1/3/2024,7:32PM,Supply
1195934,1069,C%2-A,gerawa,1,1,1,7/27/2024,7:58PM,Drug
1195934,1062,A.M-E.C,gerawa,1,1,1,7/27/2024,7:58PM,Drug
1195934,2254,LA ROCHE-Posay Anthelios +50 shaka fluid,fluide,1,1,1,7/27/2024,7:58PM,Supply
1195934,8.40274E+11,queen aromatherapy grad,Soap,1,1,1,7/27/2024,7:58PM,Supply
1195935,3.59446E+12,Coversyl 10mg اصلي,Tablet,1,1,1,4/8/2024,8:02PM,Drug
1195946,4.26022E+12,caelin ketovit shampoo,Shampoo,1,1,1,11/18/2024,1:43PM,Supply
1195946,4.823E+12,Moleskin %0.1 cream,Cream,1,1,1,11/18/2024,1:43PM,Drug
1195946,4.26022E+12,caelin %2 sulfur,Soap,1,1,1,11/18/2024,1:43PM,Supply
1195946,3.76025E+12,Novasil H 0.1%,Lotion,1,1,1,11/18/2024,1:43PM,Drug
1195946,8.69962E+12,Irazole  100mg  1tab,Tablet,1,3,3,11/18/2024,1:43PM,Drug
1195946,8.90425E+12,istovin 20mg,Capsule,3,2,0,11/18/2024,1:43PM,Drug
1195948,8.43701E+12,BABE FOOT REPAIRING 10% UREA 100ml,Cream,1,1,1,11/4/2024,1:48PM,Supply
1195961,1062,A.M-E.C,gerawa,1,1,1,4/7/2024,2:50PM,Drug
1196051,1062,A.M-E.C,gerawa,1,1,1,7/28/2024,3:37PM,Drug
1196060,3.76025E+12,Novasil H 0.1%,Lotion,1,1,1,7/24/2024,4:18PM,Drug
1196060,8.69983E+12,Methotrexate 50mg/5ml vial,Vial,1,1,1,7/24/2024,4:18PM,Drug
1196060,4.26022E+12,caelin ketovit shampoo,Shampoo,1,1,1,7/24/2024,4:18PM,Supply
1196165,-1319732,micropore 3m SPi plaster lut,instrument,24,3,0,6/11/2024,2:38PM,Supply
1196165,8.59561E+12,Heal Fast gel 50ml,Cream,1,1,1,6/11/2024,2:38PM,Supply
1196165,5.90765E+12,Cosinus 60ml NOSE AND SINUSES,spray,1,1,1,6/11/2024,2:38PM,Drug
1196165,5.90765E+12,Cosinus 60ml NOSE AND SINUSES,spray,1,1,1,6/11/2024,2:38PM,Drug
1196249,6.95183E+12,easymed syringe 10ml med,Syring,100,1,0,8/9/2024,3:11PM,Drug
1196249,-1319732,micropore 3m SPi plaster lut,instrument,24,5,0,8/9/2024,3:10PM,Supply
1196249,6.25188E+12,LEVONEER 500mg,Tablet,1,1,1,8/9/2024,3:10PM,Drug
1196249,1060,clorocil 5g Eye Ointments,Ointment,1,2,2,8/9/2024,3:10PM,Drug
1196249,1059,sterile pyrogen-free %9 500ml,Liquid,1,1,1,8/9/2024,3:10PM,Supply
1196254,1065,S.A % 1.5 -E.O,gerawa,1,1,1,10/9/2024,3:24PM,Drug
1196254,1067,S.A %3 -D,gerawa,1,1,1,10/9/2024,3:23PM,Drug
1196254,5.70219E+12,Fucidine 15G oint,Ointment,1,1,1,10/9/2024,3:23PM,Drug
1196254,6490,Chlomal 100ml,Syrup,1,1,1,10/9/2024,3:23PM,Drug
