Invoice,barcode,name,dosage_form,Sheet,Sales_Sheet,Sales_pack,addeddate,time_,type
1195592,1062,A.M-E.C,gerawa,1,1,1,3/3/2024,3:33PM,Drug
1195592,1063,R.A-C,gerawa,1,1,1,3/3/2024,3:33PM,Drug
1195592,3.40158E+12,BIODERMA SEBIUM,foaming jel,1,1,1,3/3/2024,3:33PM,Supply
1195592,8.90425E+12,istovin 20mg,Capsule,3,2,0,3/3/2024,3:33PM,Drug
1195608,1069,C%2-A,gerawa,1,1,1,6/19/2024,4:06PM,Drug
1195608,1062,A.M-E.C,gerawa,1,1,1,6/19/2024,4:06PM,Drug
1195608,4.26022E+12,caelin %2 sulfur,Soap,1,1,1,6/19/2024,4:06PM,Supply
1195608,2254,LA ROCHE-Posay Anthelios +50 shaka fluid,fluide,1,1,1,6/19/2024,4:05PM,Supply
1195700,1062,A.M-E.C,gerawa,1,1,1,8/10/2024,2:27PM,Drug
1195776,215,Allermine 25mg,Tablet,1,2,2,12/17/2024,6:24PM,Drug
1195776,8.90425E+12,istovin 20mg,Capsule,3,1,0,12/17/2024,6:24PM,Drug
1195778,8.90425E+12,istovin 20mg,Capsule,3,1,0,1/28/2024,6:26PM,Drug
1195903,5.06013E+12,SuperEyes DRY EYE DROPS 10ml,Eye Drop,1,1,1,8/11/2024,6:12PM,Drug
1195939,227,Voltfast 50mg 30 satchet,Powder,30,3,0,3/27/2024,8:25PM,Drug
1195939,227,Voltfast 50mg 30 satchet,Powder,30,3,0,3/27/2024,8:24PM,Drug
1195952,6.95183E+12,easymed syringe 10ml med,Syring,100,4,0,8/7/2024,2:21PM,Drug
1195952,1059,sterile pyrogen-free %9 500ml,Liquid,1,1,1,8/7/2024,2:21PM,Supply
1195952,-1319732,micropore 3m SPi plaster lut,instrument,24,5,0,8/7/2024,2:21PM,Supply
1195952,1060,clorocil 5g Eye Ointments,Ointment,1,2,2,8/7/2024,2:20PM,Drug
1195952,8.6802E+12,Levoximed  500mg,Tablet,1,1,1,8/7/2024,2:20PM,Drug
