Invoice,barcode,name,dosage_form,Sheet,Sales_Sheet,Sales_pack,addeddate,time_,type
1195563,3.58708E+12,Rodogyl,Tablet,2,2,1,5/17/2024,11:09PM,Drug
1195601,8.90425E+12,istovin 20mg,Capsule,3,2,0,11/21/2024,3:57PM,Drug
1195601,0000A8,Septrin aspen 480mg ,Tablet,2,1,0,11/21/2024,3:56PM,Drug
1195619,6.2911E+12,Asmafort syrup,Syrup,1,1,1,8/22/2024,4:55PM,Drug
1195619,4.26012E+12,prednisolon  5mg,Tablet,2,2,1,8/22/2024,4:55PM,Drug
1195619,314,AERIUS 0.5mg 150ml Schering-Plough,Syrup,1,1,1,8/22/2024,4:55PM,Drug
1195630,2254,LA ROCHE-Posay Anthelios +50 shaka fluid,fluide,1,1,1,3/29/2024,5:43PM,Supply
1195655,6.25188E+12,Midagyl 500,Tablet,2,1,0,11/3/2024,7:33PM,Drug
1195686,3.7005E+12,Doxycreat 100mg,Tablet,2,3,1,8/28/2024,1:52PM,Drug
1195686,8.90415E+12,benzoyl gel 5% CORAL,gel,1,1,1,8/28/2024,1:51PM,Drug
1195686,4.26022E+12,caelin %2 sulfur,Soap,1,1,1,8/28/2024,1:51PM,Supply
1195712,3.7005E+12,Doxycreat 100mg,Tablet,2,3,1,6/28/2024,2:48PM,Drug
1195712,3.7005E+12,Doxycreat 100mg,Tablet,2,3,1,6/28/2024,2:48PM,Drug
1195726,3.40156E+12,BIODERMA Photoderm  max  spf 50  40ml toucher  sec dry touch,Cream,1,1,1,8/30/2024,3:45PM,Supply
1195726,1062,A.M-E.C,gerawa,1,1,1,8/30/2024,3:45PM,Drug
1195726,1069,C%2-A,gerawa,1,1,1,8/30/2024,3:44PM,Drug
1195726,8.40274E+11,queen aromatherapy grad,Soap,1,1,1,8/30/2024,3:44PM,Supply
1195726,3.0315E+12,ISIS unitone 4 white advanced,serum,1,1,1,8/30/2024,3:44PM,Supply
1195728,-1319732,micropore 3m SPi plaster lut,instrument,24,3,0,3/5/2024,3:48PM,Supply
1195728,1060,clorocil 5g Eye Ointments,Ointment,1,1,1,3/5/2024,3:48PM,Drug
1195728,5.90765E+12,Cosinus 60ml NOSE AND SINUSES,spray,1,1,1,3/5/2024,3:47PM,Drug
1195728,8.59561E+12,Heal Fast gel 50ml,Cream,1,1,1,3/5/2024,3:47PM,Supply
1195730,8.90415E+12,benzoyl gel 5% CORAL,gel,1,1,1,8/7/2024,3:59PM,Drug
1195730,4.26022E+12,caelin %2 sulfur,Soap,1,1,1,8/7/2024,3:59PM,Supply
1195827,4.26022E+12,caelin ketovit shampoo,Shampoo,1,1,1,6/3/2024,1:45PM,Supply
1195827,3.76025E+12,Novasil H 0.1%,Lotion,1,1,1,6/3/2024,1:45PM,Drug
1195850,4.26022E+12,CAELIN  BABY CARE,Soap,1,1,1,3/25/2024,3:06PM,Supply
1195850,4.26012E+12,prednisolon  5mg,Tablet,2,2,1,3/25/2024,3:06PM,Drug
1195850,6.25116E+12,Mesone,Ointment,1,1,1,3/25/2024,3:06PM,Drug
1195865,1069,C%2-A,gerawa,1,1,1,5/9/2024,4:21PM,Drug
1195865,1063,R.A-C,gerawa,1,1,1,5/9/2024,4:20PM,Drug
1195865,4.26022E+12,caelin %2 sulfur,Soap,1,1,1,5/9/2024,4:20PM,Supply
1195865,4.26022E+12,caelin %2 sulfur,Soap,1,1,1,5/9/2024,4:20PM,Supply
1195865,3.49932E+12,Benzac AC 5%,Cream,1,1,1,5/9/2024,4:20PM,Drug
1195872,3.6604E+12,cystiphane biorga,Tablet,6,6,1,3/16/2024,4:34PM,Drug
1195873,3.6604E+12,cystiphane biorga,Tablet,6,6,1,7/30/2024,4:34PM,Drug
1195878,3.49932E+12,Benzac AC 5%,Cream,1,1,1,6/9/2024,4:47PM,Drug
