Invoice,barcode,name,dosage_form,Sheet,Sales_Sheet,Sales_pack,addeddate,time_,type
1195547,12,Becozyme forte BAYER,Tablet,2,3,1,2/26/2024,10:17PM,Drug
1195638,3.7005E+12,Doxycreat 100mg,Tablet,2,1,0,8/25/2024,6:20PM,Drug
1195662,6.25116E+12,Mesone ,Cream,1,1,1,11/21/2024,10:32AM,Drug
1195695,1062,A.M-E.C,gerawa,1,1,1,8/8/2024,2:13PM,Drug
1195695,1069,C%2-A,gerawa,1,1,1,8/8/2024,2:13PM,Drug
1195695,1063,R.A-C,gerawa,1,1,1,8/8/2024,2:13PM,Drug
1195695,2254,LA ROCHE-Posay Anthelios +50 shaka fluid,fluide,1,1,1,8/8/2024,2:13PM,Supply
1195695,4.26022E+12,caelin %2 sulfur,Soap,1,1,1,8/8/2024,2:13PM,Supply
1195713,8.90146E+12,isomac 20,Capsule,3,2,0,6/20/2024,2:54PM,Drug
1195713,2254,LA ROCHE-Posay Anthelios +50 shaka fluid,fluide,1,1,1,6/20/2024,2:53PM,Supply
1195715,8.40274E+11,SULPHUR %10 (sulphatan),Soap,1,1,1,9/7/2024,3:06PM,Supply
1195715,8.40274E+11,king vitamin E,Soap,1,1,1,9/7/2024,3:06PM,Supply
1195715,5.31009E+12,Trimoksazol  (400+80)mg,Tablet,2,3,1,9/7/2024,3:06PM,Drug
1195715,8.90425E+12,istovin 20mg,Capsule,3,1,0,9/7/2024,3:06PM,Drug
1195715,1069,C%2-A,gerawa,1,1,1,9/7/2024,3:06PM,Drug
1195715,1062,A.M-E.C,gerawa,1,1,1,9/7/2024,3:06PM,Drug
1195715,1063,R.A-C,gerawa,1,1,1,9/7/2024,3:06PM,Drug
1195719,2254,LA ROCHE-Posay Anthelios +50 shaka fluid,fluide,1,1,1,6/15/2024,3:34PM,Supply
1195719,8.90425E+12,istovin 20mg,Capsule,3,2,0,6/15/2024,3:34PM,Drug
1195720,8.90425E+12,istovin 20mg,Capsule,3,2,0,9/12/2024,3:34PM,Drug
1195720,2254,LA ROCHE-Posay Anthelios +50 shaka fluid,fluide,1,1,1,9/12/2024,3:34PM,Supply
1195720,4.26022E+12,caelin %2 sulfur,Soap,1,1,1,9/12/2024,3:34PM,Supply
1195733,5.31009E+12,Trimoksazol  (400+80)mg,Tablet,2,1,0,5/20/2024,4:09PM,Drug
1195733,1063,R.A-C,gerawa,1,1,1,5/20/2024,4:08PM,Drug
1195733,1062,A.M-E.C,gerawa,1,1,1,5/20/2024,4:08PM,Drug
1195733,5.70219E+12,Fucidine 15G cream,Cream,1,1,1,5/20/2024,4:08PM,Drug
1195733,8.40274E+11,queen aromatherapy grad,Soap,1,1,1,5/20/2024,4:08PM,Supply
1195733,1069,C%2-A,gerawa,1,1,1,5/20/2024,4:08PM,Drug
1195733,1069,C%2-A,gerawa,1,1,1,5/20/2024,4:07PM,Drug
1195733,1069,C%2-A,gerawa,1,1,1,5/20/2024,4:07PM,Drug
1195733,6.25188E+12,piodol cold&flu day,Tablet,2,2,1,5/20/2024,4:07PM,Drug
