Invoice,barcode,name,dosage_form,Sheet,Sales_Sheet,Sales_pack,addeddate,time_,type
1195546,12,Becozyme forte BAYER,Tablet,2,2,1,11/27/2024,10:07PM,Drug
1195546,12,Becozyme forte BAYER,Tablet,2,1,0,11/27/2024,10:07PM,Drug
1195626,1063,R.A-C,gerawa,1,1,1,3/21/2024,5:24PM,Drug
1195626,1062,A.M-E.C,gerawa,1,1,1,3/21/2024,5:24PM,Drug
1195626,8.40274E+11,queen aromatherapy grad,Soap,1,1,1,3/21/2024,5:24PM,Supply
1195626,3.6604E+12,cystiphane biorga hair loss,Shampoo,1,1,1,3/21/2024,5:24PM,Supply
1195626,5.90672E+12,Soft Iron + SR,Capsule,1,1,1,3/21/2024,5:24PM,Drug
1195626,1073,P-M 30ml or 40ml,gerawa,1,1,1,3/21/2024,5:24PM,Drug
1195658,3.33787E+12,LA ROCHE-POSAY 100ml Demo Pediatrics,Cream,1,1,1,6/19/2024,10:28PM,Supply
1195696,8.59561E+12,Heal Fast gel 50ml,Cream,1,1,1,12/10/2024,2:19PM,Supply
1195696,5.90765E+12,Cosinus 60ml NOSE AND SINUSES,spray,1,1,1,12/10/2024,2:19PM,Drug
1195899,3.6604E+12,cystiphane biorga,Tablet,6,6,1,1/26/2024,6:01PM,Drug
1195937,5.70219E+12,Fucidine 15G cream,Cream,1,1,1,7/31/2024,8:12PM,Drug
1195937,6.25107E+12,Amoclan Bid 1g,Tablet,1,1,1,7/31/2024,8:12PM,Drug
1195953,6.95183E+12,easymed syringe 10ml med,Syring,100,2,0,11/6/2024,2:23PM,Drug
1195953,1059,sterile pyrogen-free %9 500ml,Liquid,1,2,2,11/6/2024,2:23PM,Supply
1195953,8.69958E+12,Nevotek 500mg,Tablet,1,1,1,11/6/2024,2:23PM,Drug
1195953,1060,clorocil 5g Eye Ointments,Ointment,1,1,1,11/6/2024,2:22PM,Drug
1196027,1062,A.M-E.C,gerawa,1,1,1,11/16/2024,1:16PM,Drug
1196027,1069,C%2-A,gerawa,1,1,1,11/16/2024,1:16PM,Drug
1196027,8.69972E+12,Trimoks 480mg,Tablet,3,3,1,11/16/2024,1:16PM,Drug
1196027,8.43701E+12,BABE NEW NUEVO SPF 50,Cream,1,1,1,11/16/2024,1:16PM,Supply
1196027,4.26022E+12,caelin %2 sulfur,Soap,1,1,1,11/16/2024,1:16PM,Supply
1196027,8.90425E+12,istovin 20mg,Capsule,3,3,1,11/16/2024,1:16PM,Drug
1196027,3.49932E+12,Benzac AC 5%,Cream,1,1,1,11/16/2024,1:16PM,Drug
1196050,8.90605E+12,isotoin 20mg USP,Capsule,3,2,0,5/21/2024,3:37PM,Drug
1196050,8.40274E+11,queen aromatherapy grad,Soap,1,1,1,5/21/2024,3:37PM,Supply
1196050,5.943E+12,GEROVITAL PLANT STOP ACNEE JEL,gel,1,1,1,5/21/2024,3:37PM,Supply
1196231,1062,A.M-E.C,gerawa,1,1,1,1/23/2024,8:59PM,Drug
1196231,1069,C%2-A,gerawa,1,1,1,1/23/2024,8:59PM,Drug
1196231,1063,R.A-C,gerawa,1,1,1,1/23/2024,8:59PM,Drug
1196268,6.25188E+12,Midagyl 500,Tablet,2,2,1,1/25/2024,4:22PM,Drug
1196270,8.69962E+12,Irazole  100mg  15tab,Capsule,3,3,1,9/1/2024,4:30PM,Drug
1196270,4.823E+12,Moleskin %0.1 cream,Cream,1,1,1,9/1/2024,4:30PM,Drug
1196270,4.26022E+12,caelin %2 sulfur,Soap,1,1,1,9/1/2024,4:30PM,Supply
1196270,8.90425E+12,istovin 20mg,Capsule,3,2,0,9/1/2024,4:30PM,Drug
1196270,2254,LA ROCHE-Posay Anthelios +50 shaka fluid,fluide,1,1,1,9/1/2024,4:29PM,Supply
1196321,4.26022E+12,caelin %2 sulfur,Soap,1,1,1,10/29/2024,3:42PM,Supply
1196321,1062,A.M-E.C,gerawa,1,1,1,10/29/2024,3:42PM,Drug
1196321,1063,R.A-C,gerawa,1,1,1,10/29/2024,3:42PM,Drug
1196321,1069,C%2-A,gerawa,1,1,1,10/29/2024,3:42PM,Drug
1196321,8.69972E+12,Trimoks 480mg,Tablet,3,3,1,10/29/2024,3:42PM,Drug
1196321,8.90605E+12,isotoin 20mg USP,Capsule,3,3,1,10/29/2024,3:42PM,Drug
1196365,2020,Differin  adapalene 0.1%  30g,gel,1,1,1,11/11/2024,1:25PM,Drug
1196399,1079,T-B,gerawa,1,1,1,6/9/2024,4:27PM,Drug
1196422,8.90111E+12,aquasoft,Soap,1,1,1,5/26/2024,1:25PM,Supply
1196448,8.90605E+12,isotoin 20mg USP,Capsule,3,2,0,8/31/2024,3:06PM,Drug
1196448,1067,S.A %3 -D,gerawa,1,1,1,8/31/2024,3:06PM,Drug
1196448,8.40274E+11,queen aromatherapy grad,Soap,1,1,1,8/31/2024,3:05PM,Supply
1196448,8.43701E+12,BABE NEW NUEVO SPF 50,Cream,1,1,1,8/31/2024,3:05PM,Supply
1196448,4.823E+12,Moleskin %0.1 cream,Cream,1,1,1,8/31/2024,3:05PM,Drug
1196506,1069,C%2-A,gerawa,1,1,1,6/5/2024,3:32PM,Drug
1196506,3.49932E+12,Benzac AC 5%,Cream,1,1,1,6/5/2024,3:31PM,Drug
1196506,7.64014E+12,WHITE INTENSE Night 30ml,Cream,1,1,1,6/5/2024,3:31PM,Supply
1196506,4.26022E+12,caelin %2 sulfur,Soap,1,1,1,6/5/2024,3:31PM,Supply
1196506,8.43701E+12,BABE NEW NUEVO SPF 50,Cream,1,1,1,6/5/2024,3:31PM,Supply
1196527,8.6804E+12,Selovita-D3 300.000 I.U/ml,Amp,1,1,1,10/17/2024,6:04PM,Drug
1196527,8.6804E+12,Selovita-D3 300.000 I.U/ml,Amp,1,1,1,10/17/2024,6:04PM,Drug
1196565,1062,A.M-E.C,gerawa,1,1,1,3/17/2024,3:47PM,Drug
1196565,1063,R.A-C,gerawa,1,1,1,3/17/2024,3:47PM,Drug
1196565,1069,C%2-A,gerawa,1,1,1,3/17/2024,3:47PM,Drug
1196565,3.0315E+12,ISIS Teen Derm,gel,1,1,1,3/17/2024,3:47PM,Supply
1196597,6.25116E+12,clofen Diclofen 12.5mg,Suppository,1,1,1,1/4/2024,6:41PM,Drug
1196642,2020,Differin  adapalene 0.1%  30g,gel,1,1,1,9/21/2024,3:15PM,Drug
1196642,1065,S.A % 1.5 -E.O,gerawa,1,1,1,9/21/2024,3:15PM,Drug
1196642,8.40274E+11,queen aromatherapy grad,Soap,1,1,1,9/21/2024,3:15PM,Supply
1196701,7.64014E+12,WHITE INTENSE Night 30ml,Cream,1,1,1,10/10/2024,3:08PM,Supply
1196742,8.68109E+12,BENEDAY 250/250/1/300mg,Tablet,3,3,1,6/12/2024,4:48PM,Drug
1196742,8.04532E+11,NURO 360,Capsule,2,2,1,6/12/2024,4:48PM,Drug
1196742,5.90017E+12,Bioflex plus join repair formula,effervecent tabalet,3,3,1,6/12/2024,4:48PM,Drug
1196836,80432400395,P.O,Powder,1,3,3,5/15/2024,5:21PM,Supply
1196836,1116,Fat fast blue,Capsule,1,1,1,5/15/2024,5:21PM,Supply
1196858,6.29401E+12,PanaLife 500mg ,Tablet,8,1,0,11/15/2024,8:48PM,Drug
1196887,4.26012E+12,prednisolon  5mg,Tablet,2,2,1,8/16/2024,2:34PM,Drug
1196887,1065,S.A % 1.5 -E.O,gerawa,1,1,1,8/16/2024,2:34PM,Drug
1196887,4.26022E+12,CAELIN  BABY CARE,Soap,1,1,1,8/16/2024,2:34PM,Supply
1196887,6490,Chlomal 100ml,Syrup,1,1,1,8/16/2024,2:34PM,Drug
1196887,5.70219E+12,Fucidine 15G oint,Ointment,1,1,1,8/16/2024,2:34PM,Drug
1196887,3.40138E+12,BIODERMA Atoderm intensive Baume  200ml,Lotion,1,1,1,8/16/2024,2:34PM,Supply
1196895,1065,S.A % 1.5 -E.O,gerawa,1,1,1,5/18/2024,2:43PM,Drug
