Invoice,barcode,name,dosage_form,Sheet,Sales_Sheet,Sales_pack,addeddate,time_,type
1195647,4.26012E+12,prednisolon  5mg,Tablet,2,2,1,10/16/2024,7:07PM,Drug
1195706,3.40156E+12,BIODERMA Photoderm  max  spf 50  40ml toucher  sec dry touch,Cream,1,1,1,1/29/2024,2:34PM,Supply
1195724,4.26022E+12,caelin ketovit shampoo,Shampoo,1,1,1,2/22/2024,3:40PM,Supply
1195810,1067,S.A %3 -D,gerawa,1,1,1,10/11/2024,9:44PM,Drug
1195929,1021,Concor cor 2.5mg,Tablet,3,3,1,1/17/2024,7:28PM,Drug
1196008,1080,S.A-L.A-D,gerawa,1,1,1,9/11/2024,3:26PM,Drug
1196008,2020,Differin  adapalene 0.1%  30g,gel,1,1,1,9/11/2024,3:25PM,Drug
1196008,4.26022E+12,CAELIN  BABY CARE,Soap,1,1,1,9/11/2024,3:25PM,Supply
1196076,1060,clorocil 5g Eye Ointments,Ointment,1,1,1,10/31/2024,6:04PM,Drug
1196076,5.90765E+12,Cosinus 60ml NOSE AND SINUSES,spray,1,1,1,10/31/2024,6:04PM,Drug
1196076,5.90765E+12,Cosinus 60ml NOSE AND SINUSES,spray,1,1,1,10/31/2024,6:04PM,Drug
1196076,8.59561E+12,Heal Fast gel 50ml,Cream,1,1,1,10/31/2024,6:04PM,Supply
1196076,5.06015E+12,Ciprofloxacin 500mg /accord,Tablet,1,1,1,10/31/2024,6:04PM,Drug
1196076,-1319732,micropore 3m SPi plaster lut,instrument,24,2,0,10/31/2024,6:04PM,Supply
1196123,1067,S.A %3 -D,gerawa,1,1,1,9/12/2024,3:43PM,Drug
1196286,1065,S.A % 1.5 -E.O,gerawa,1,1,1,6/15/2024,5:27PM,Drug
1196286,4.26022E+12,CAELIN VITAMIN E PLUS,Soap,1,1,1,6/15/2024,5:27PM,Supply
1196307,8.90146E+12,isomac 20,Capsule,3,2,0,10/8/2024,3:18PM,Drug
1196307,1062,A.M-E.C,gerawa,1,1,1,10/8/2024,3:18PM,Drug
1196307,1069,C%2-A,gerawa,1,1,1,10/8/2024,3:18PM,Drug
1196307,3.40134E+12,BIODERMA SENSIBIO AR,Cream,1,1,1,10/8/2024,3:18PM,Supply
1196307,8.43603E+12,KIN whitening,Toothpaste,1,1,1,10/8/2024,3:17PM,Supply
1196307,4.26022E+12,caelin %5 sulfur,Soap,1,1,1,10/8/2024,3:17PM,Supply
1196307,4.26022E+12,caelin %2 sulfur,Soap,1,1,1,10/8/2024,3:17PM,Supply
1196307,3.40156E+12,BIODERMA Photoderm  max  spf 50  40ml toucher  sec dry touch,Cream,1,1,1,10/8/2024,3:17PM,Supply
1196363,4.823E+12,Moleskin %0.1 cream,Cream,1,1,1,10/6/2024,1:01PM,Drug
1196363,8.40274E+11,queen aromatherapy grad,Soap,1,1,1,10/6/2024,1:01PM,Supply
1196430,-1319732,micropore 3m SPi plaster lut,instrument,24,5,0,12/22/2024,2:24PM,Supply
1196430,1060,clorocil 5g Eye Ointments,Ointment,1,2,2,12/22/2024,2:24PM,Drug
1196430,8.6802E+12,Levoximed  500mg,Tablet,1,1,1,12/22/2024,2:24PM,Drug
1196569,5.70219E+12,Fucidine 15G cream,Cream,1,1,1,5/15/2024,4:07PM,Drug
1196569,6.2911E+12,Julmentin  2X  1000mg,Tablet,3,3,1,5/15/2024,4:07PM,Drug
1196632,3.40135E+12,Sebium photoderm AKN Mat spf 30 40ml,Cream,1,1,1,1/30/2024,2:49PM,Supply
1196632,1063,R.A-C,gerawa,1,1,1,1/30/2024,2:49PM,Drug
1196632,1062,A.M-E.C,gerawa,1,1,1,1/30/2024,2:48PM,Drug
1196632,8.40274E+11,queen aromatherapy grad,Soap,1,1,1,1/30/2024,2:48PM,Supply
1196634,1065,S.A % 1.5 -E.O,gerawa,1,1,1,2/29/2024,2:55PM,Drug
1196634,8.69962E+12,Irazole  100mg  15tab,Capsule,3,3,1,2/29/2024,2:55PM,Drug
1196688,3.28278E+12,avene emulsion spf 50,Cream,1,1,1,2/11/2024,2:15PM,Supply
1196688,1062,A.M-E.C,gerawa,1,1,1,2/11/2024,1:46PM,Drug
1196688,1063,R.A-C,gerawa,1,1,1,2/11/2024,1:46PM,Drug
1196688,1069,C%2-A,gerawa,1,1,1,2/11/2024,1:45PM,Drug
1196688,8.69962E+12,Irazole  100mg  15tab,Capsule,3,3,1,2/11/2024,1:45PM,Drug
1196711,1065,S.A % 1.5 -E.O,gerawa,1,1,1,6/5/2024,3:43PM,Drug
1196711,5.70219E+12,Fucidine 15G oint,Ointment,1,1,1,6/5/2024,3:43PM,Drug
1196763,1062,A.M-E.C,gerawa,1,1,1,11/13/2024,5:48PM,Drug
1196763,1069,C%2-A,gerawa,1,1,1,11/13/2024,5:48PM,Drug
1196763,3.0315E+12,ISIS Teen Derm,gel,1,1,1,11/13/2024,5:48PM,Supply
1196793,5.90473E+12,Collafix 60cap,Capsule,4,4,1,2/23/2024,1:44PM,Drug
1196847,3.83899E+12,Doreta,Tablet,2,2,1,10/27/2024,6:19PM,Drug
1196847,5.02305E+12,GLME+,Capsule,1,1,1,10/27/2024,6:19PM,Drug
1196847,5.90017E+12,Bioflex plus join repair formula,effervecent tabalet,3,3,1,10/27/2024,6:19PM,Drug
1196861,5.70219E+12,Fucidine 15G cream,Cream,1,1,1,2/9/2024,12:53PM,Drug
1196861,3.7005E+12,Doxycreat 100mg,Tablet,2,3,1,2/9/2024,12:53PM,Drug
1196861,1063,R.A-C,gerawa,1,1,1,2/9/2024,12:53PM,Drug
1196861,1062,A.M-E.C,gerawa,1,1,1,2/9/2024,12:53PM,Drug
1196861,4.26022E+12,caelin %2 sulfur,Soap,1,1,1,2/9/2024,12:53PM,Supply
1196904,1062,A.M-E.C,gerawa,1,2,2,6/3/2024,3:27PM,Drug
1196910,-1319732,micropore 3m SPi plaster lut,instrument,24,5,0,7/8/2024,3:36PM,Supply
1196910,5.02647E+12,Chloramphenicol 1% w/w eye oint,Ointment,1,1,1,7/8/2024,3:36PM,Supply
1196910,8.6802E+12,Levoximed  500mg,Tablet,1,1,1,7/8/2024,3:36PM,Drug
1196984,3.66143E+12,Depiderm eye contour,eye contour,1,1,1,10/19/2024,3:05PM,Supply
1196984,7.64014E+12,WHITE INTENSE Night 30ml,Cream,1,1,1,10/19/2024,3:05PM,Supply
1197056,1062,A.M-E.C,gerawa,1,1,1,4/3/2024,1:25PM,Drug
1197056,1063,R.A-C,gerawa,1,1,1,4/3/2024,1:25PM,Drug
1197056,2254,LA ROCHE-Posay Anthelios +50 shaka fluid,fluide,1,1,1,4/3/2024,1:25PM,Supply
1197056,8.90425E+12,istovin 20mg,Capsule,3,2,0,4/3/2024,1:25PM,Drug
1197056,3.0315E+12,ISIS Teen Derm,gel,1,1,1,4/3/2024,1:25PM,Supply
1197085,6.2911E+12,Risek 20mg,Capsule,1,1,1,6/18/2024,4:29PM,Drug
1197085,6.2911E+12,MUSCADOL,Tablet,2,2,1,6/18/2024,4:29PM,Drug
1197202,1062,A.M-E.C,gerawa,1,1,1,4/27/2024,5:09PM,Drug
1197380,8.69955E+12,gainuup powerful fruits 300g,Powder,1,4,4,8/19/2024,4:28PM,Supply
1197380,5.06041E+12,nutrigen vegy 12vitamins +3minerals  200ml,Syrup,1,2,2,8/19/2024,4:28PM,Drug
1197493,1062,A.M-E.C,gerawa,1,1,1,7/29/2024,6:25PM,Drug
1197493,1063,R.A-C,gerawa,1,1,1,7/29/2024,6:25PM,Drug
1197493,1067,S.A %3 -D,gerawa,1,1,1,7/29/2024,6:25PM,Drug
1197493,1069,C%2-A,gerawa,1,1,1,7/29/2024,6:24PM,Drug
1197493,1069,C%2-A,gerawa,1,1,1,7/29/2024,6:24PM,Drug
1197542,6.65808E+11,Kidz Appetite-Energy,Syrup,1,1,1,8/19/2024,3:44PM,Drug
1197542,8.69955E+12,gainuup powerful fruits 300g,Powder,1,3,3,8/19/2024,3:44PM,Supply
1197547,1134,Fast Fat Super 1&2 2*60,Tablet,1,1,1,11/27/2024,4:06PM,Supply
1197547,8.69955E+12,gainuup powerful fruits 300g,Powder,1,1,1,11/27/2024,4:06PM,Supply
1197602,8.69957E+12,Travazol 15g,Cream,1,1,1,8/14/2024,12:20PM,Drug
1197602,8.6802E+12,Flucosan 150mg/2cap.,Capsule,2,2,1,8/14/2024,12:20PM,Drug
1197602,4.26022E+12,caelin ketovit shampoo,Shampoo,1,1,1,8/14/2024,12:20PM,Supply
1197602,4.0085E+12,Bepanthen Protective Baby,Ointment,1,1,1,8/14/2024,12:20PM,Drug
1197626,760,MYDOCALM 150mg  LABATEC PHARMA,Tablet,3,3,1,1/17/2024,4:46PM,Drug
1197649,7.64015E+12,Gasec-40mg,Capsule,1,1,1,9/23/2024,8:01PM,Drug
1197712,1065,S.A % 1.5 -E.O,gerawa,1,1,1,11/26/2024,4:19PM,Drug
1197724,2020,Differin  adapalene 0.1%  30g,gel,1,1,1,3/21/2024,6:04PM,Drug
1197732,5.00017E+12,Strepsils orange & vitamin c,lozenge,2,1,0,9/16/2024,11:43AM,Drug
1197748,1069,C%2-A,gerawa,1,2,2,1/18/2024,2:10PM,Drug
1197780,1063,R.A-C,gerawa,1,1,1,1/20/2024,4:27PM,Drug
1197780,1080,S.A-L.A-D,gerawa,1,1,1,1/20/2024,4:27PM,Drug
1197780,8.90605E+12,isotoin 20mg USP,Capsule,3,2,0,1/20/2024,4:26PM,Drug
1197780,8.40274E+11,queen aromatherapy grad,Soap,1,1,1,1/20/2024,4:26PM,Supply
1197780,1078,T.C.A,gerawa,1,1,1,1/20/2024,4:26PM,Supply
1197780,5.70219E+12,Fucidine 15G cream,Cream,1,1,1,1/20/2024,4:26PM,Drug
1197894,1065,S.A % 1.5 -E.O,gerawa,1,1,1,8/29/2024,3:43PM,Drug
1197894,8.69983E+12,Methotrexate 50mg/5ml vial,Vial,1,1,1,8/29/2024,3:43PM,Drug
1197894,6.25116E+12,Mesone,Ointment,1,1,1,8/29/2024,3:43PM,Drug
1197894,6490,Chlomal 100ml,Syrup,1,1,1,8/29/2024,3:43PM,Drug
1197894,6.28126E+12,Elica-M,Ointment,1,1,1,8/29/2024,3:43PM,Drug
1197939,3.28278E+12,Avene Cleanance gel  300ml,gel,1,1,1,3/14/2024,6:29PM,Supply
1197939,1063,R.A-C,gerawa,1,1,1,3/14/2024,6:29PM,Drug
1197939,1063,R.A-C,gerawa,1,1,1,3/14/2024,6:29PM,Drug
1197939,1062,A.M-E.C,gerawa,1,1,1,3/14/2024,6:29PM,Drug
1197939,8.40274E+11,queen aromatherapy grad,Soap,1,1,1,3/14/2024,6:29PM,Supply
1197954,3.58291E+12,doliprane 500 mg,Tablet,1,1,1,4/30/2024,6:55PM,Drug
1197954,7.64016E+12,Dentissimo Gold 75ml,Toothpaste,1,1,1,4/30/2024,6:55PM,Supply
1197972,6.29401E+12,Panalife 250mg syrup,Syrup,1,1,1,4/25/2024,7:40PM,Supply
1197972,6.25107E+12,AMOCLAN BID 400mg,Syrup,1,1,1,4/25/2024,7:39PM,Drug
1197973,1067,S.A %3 -D,gerawa,1,1,1,11/16/2024,7:43PM,Drug
1197973,7.68028E+12,Librax,Tablet,1,1,1,11/16/2024,7:43PM,Drug
1197989,1062,A.M-E.C,gerawa,1,1,1,11/16/2024,1:36PM,Drug
1197989,1067,S.A %3 -D,gerawa,1,1,1,11/16/2024,1:36PM,Drug
1197989,3.33787E+12,Pigmentclar for eye15ml,Cream,1,1,1,11/16/2024,1:36PM,Supply
1197989,8.40274E+11,queen aromatherapy grad,Soap,1,1,1,11/16/2024,1:36PM,Supply
1197989,3.7601E+12,ACM DEPIWHITE ADVANCED,Cream,1,1,1,11/16/2024,1:36PM,Supply
1198159,1126,capsoli batal,Capsule,33,1,0,3/27/2024,5:21PM,Drug
1198159,5.90017E+12,Bioflex plus join repair formula,effervecent tabalet,3,3,1,3/27/2024,5:21PM,Drug
1198159,63935007254,Arthri Flex,Skin Gel,1,1,1,3/27/2024,5:21PM,Drug
1198188,0000A7,Negazole   250mg,Tablet,2,2,1,10/8/2024,7:17PM,Drug
1198212,5.01737E+12,linrose spf 50 dry normal,Cream,1,1,1,8/23/2024,9:07PM,Supply
1198212,5.943E+12,GEROVITAL PLANT STOP ACNEE JEL,gel,1,1,1,8/23/2024,9:07PM,Supply
1198232,5.70219E+12,Fucidine 15G cream,Cream,1,1,1,9/24/2024,2:23PM,Drug
1198232,6.25107E+12,Amoclan Bid 1g,Tablet,1,1,1,9/24/2024,2:23PM,Drug
1198232,8.90605E+12,isotoin 20mg USP,Capsule,3,2,0,9/24/2024,2:23PM,Drug
1198232,4.26022E+12,caelin ketovit shampoo,Shampoo,1,1,1,9/24/2024,2:23PM,Supply
1198232,4.26022E+12,caelin %5 sulfur,Soap,1,1,1,9/24/2024,2:22PM,Supply
1198232,4.26022E+12,Caelin antibacterial soap,Soap,1,1,1,9/24/2024,2:22PM,Supply
1198302,1126,capsoli batal,Capsule,33,1,0,8/9/2024,6:58PM,Drug
1198302,5.02305E+12,Neuroplus,Tablet,1,1,1,8/9/2024,6:58PM,Drug
1198302,4.86E+12,Ketamo-Aversi 30mg,Vial pack,2,4,2,8/9/2024,6:58PM,Supply
1198302,5.90017E+12,Bioflex plus join repair formula,effervecent tabalet,3,3,1,8/9/2024,6:58PM,Drug
1198302,307,Arcoxia 120mg,Tablet,1,1,1,8/9/2024,6:57PM,Drug
1198306,215,Allermine 25mg,Tablet,1,1,1,4/29/2024,7:12PM,Drug
1198306,1073,P-M 30ml or 40ml,gerawa,1,1,1,4/29/2024,7:10PM,Drug
1198306,8.40274E+11,queen aromatherapy grad,Soap,1,1,1,4/29/2024,7:10PM,Supply
1198342,8.90609E+12,Acnonil -0.025% 30g,gel,1,1,1,11/1/2024,2:27PM,Drug
1198342,8.90605E+12,isotoin 20mg USP,Capsule,3,1,0,11/1/2024,2:27PM,Drug
1198342,7.00462E+11,SULPHUR 2% SOAP VITAMIN E& ALLENTATION,Soap,1,1,1,11/1/2024,2:27PM,Supply
1198363,1065,S.A % 1.5 -E.O,gerawa,1,1,1,11/7/2024,3:40PM,Drug
1198363,1080,S.A-L.A-D,gerawa,1,1,1,11/7/2024,3:40PM,Drug
